participant,direction,grating,A0,a,start,A,B,n_step
201,decrement,0,1.0,1.06,0.012,0.0,12.0,
201,decrement,5,1.0,1.1,0.011,1.0,12.0,
201,decrement,10,1.0,1.08,0.01,1.0,12.0,
201,decrement,20,1.0,1.09,0.011,1.0,12.0,
201,increment,0,3.0,1.06,0.012,2.0,12.0,
201,increment,5,3.0,1.1,0.011,3.0,12.0,
201,increment,10,3.0,1.08,0.01,3.0,12.0,
201,increment,20,3.0,1.09,0.011,3.0,12.0,
202,decrement,0,1.0,1.15,0.01,1.0,0.0,
202,decrement,5,1.0,1.1,0.014,1.0,0.0,
202,decrement,10,1.0,1.1,0.011,0.0,0.0,
202,decrement,20,1.0,1.1,0.011,0.0,0.0,
202,increment,0,2.0,1.15,0.01,0.0,0.0,
202,increment,5,2.0,1.1,0.014,2.0,0.0,
202,increment,10,2.0,1.1,0.011,2.0,0.0,
202,increment,20,2.0,1.1,0.011,2.0,0.0,
203,decrement,0,2.0,1.2,0.011,0.0,0.0,
203,decrement,5,2.0,1.1,0.015,1.0,0.0,
203,decrement,10,2.0,1.1,0.011,7.0,0.0,
203,decrement,20,2.0,1.1,0.011,1.0,0.0,
203,increment,0,4.0,1.2,0.011,0.0,0.0,
203,increment,5,4.0,1.1,0.015,4.0,0.0,
203,increment,10,4.0,1.1,0.011,4.0,0.0,
203,increment,20,4.0,1.1,0.011,4.0,0.0,
204,decrement,0,1.0,1.07,0.011,0.0,0.0,
204,decrement,5,1.0,1.1,0.011,1.0,0.0,
204,decrement,10,1.0,1.1,0.011,3.0,0.0,
204,decrement,20,1.0,1.1,0.011,1.0,0.0,
204,increment,0,5.0,1.07,0.011,5.0,0.0,
204,increment,5,5.0,1.1,0.011,4.0,0.0,
204,increment,10,5.0,1.1,0.011,4.0,0.0,
204,increment,20,5.0,1.1,0.011,4.0,0.0,
205,decrement,0,3.0,1.11,0.011,3.0,0.0,
205,decrement,5,3.0,1.13,0.011,3.0,0.0,
205,decrement,10,3.0,1.1,0.011,2.0,0.0,
205,decrement,20,3.0,1.1,0.012,2.0,0.0,
205,increment,0,6.0,1.11,0.011,5.0,0.0,
205,increment,5,6.0,1.13,0.011,6.0,0.0,
205,increment,10,6.0,1.1,0.011,5.0,0.0,
205,increment,20,6.0,1.1,0.012,5.0,0.0,
206,decrement,0,3.0,1.07,0.015,1.0,0.0,
206,decrement,5,3.0,1.13,0.01,1.0,0.0,
206,decrement,10,3.0,1.1,0.011,2.0,0.0,
206,decrement,20,3.0,1.09,0.013,3.0,0.0,
206,increment,0,5.0,1.07,0.015,4.0,0.0,
206,increment,5,5.0,1.13,0.01,5.0,0.0,
206,increment,10,5.0,1.1,0.011,3.0,0.0,
206,increment,20,5.0,1.09,0.013,5.0,0.0,
207,decrement,0,1.0,1.1,0.011,2.0,0.0,
207,decrement,5,1.0,1.12,0.01,1.0,0.0,
207,decrement,10,1.0,1.15,0.011,1.0,0.0,
207,decrement,20,1.0,1.06,0.013,0.0,0.0,
207,increment,0,5.0,1.1,0.011,5.0,0.0,
207,increment,5,5.0,1.12,0.01,5.0,0.0,
207,increment,10,5.0,1.15,0.011,4.0,0.0,
207,increment,20,5.0,1.06,0.013,5.0,0.0,
208,decrement,0,1.0,1.11,0.011,1.0,0.0,
208,decrement,5,1.0,1.1,0.011,0.0,0.0,
208,decrement,10,1.0,1.15,0.011,1.0,0.0,
208,decrement,20,1.0,1.1,0.011,0.0,0.0,
208,increment,0,3.0,1.11,0.011,3.0,0.0,
208,increment,5,3.0,1.1,0.011,3.0,0.0,
208,increment,10,3.0,1.15,0.011,3.0,0.0,
208,increment,20,3.0,1.1,0.011,3.0,0.0,
209,decrement,0,4.0,1.11,0.011,0.0,0.0,
209,decrement,5,4.0,1.1,0.01,8.0,0.0,
209,decrement,10,4.0,1.1,0.011,6.0,0.0,
209,decrement,20,4.0,1.11,0.011,5.0,0.0,
209,increment,0,4.0,1.11,0.011,4.0,0.0,
209,increment,5,4.0,1.1,0.01,4.0,0.0,
209,increment,10,4.0,1.1,0.011,3.0,0.0,
209,increment,20,4.0,1.11,0.011,1.0,0.0,
210,decrement,0,2.0,1.05,0.011,8.0,16.0,
210,decrement,5,2.0,1.1,0.011,2.0,16.0,
210,decrement,10,2.0,1.1,0.011,2.0,16.0,
210,decrement,20,2.0,1.1,0.011,2.0,16.0,
210,increment,0,5.0,1.05,0.011,5.0,16.0,
210,increment,5,5.0,1.1,0.011,5.0,16.0,
210,increment,10,5.0,1.1,0.011,1.0,16.0,
210,increment,20,5.0,1.1,0.011,5.0,16.0,
211,decrement,0,7.0,1.2,0.011,4.0,13.0,
211,decrement,5,7.0,1.25,0.011,4.0,13.0,
211,decrement,10,7.0,1.1,0.011,1.0,13.0,
211,decrement,20,7.0,1.19,0.011,1.0,13.0,
211,increment,0,6.0,1.2,0.011,1.0,13.0,
211,increment,5,6.0,1.25,0.011,3.0,13.0,
211,increment,10,6.0,1.1,0.011,6.0,13.0,
211,increment,20,6.0,1.19,0.011,4.0,13.0,
212,decrement,0,2.0,1.12,0.008,2.0,9.0,
212,decrement,5,2.0,1.1,0.011,2.0,9.0,
212,decrement,10,2.0,1.08,0.012,1.0,9.0,
212,decrement,20,2.0,1.1,0.011,2.0,9.0,
212,increment,0,4.0,1.12,0.008,4.0,9.0,
212,increment,5,4.0,1.1,0.011,3.0,9.0,
212,increment,10,4.0,1.08,0.012,4.0,9.0,
212,increment,20,4.0,1.1,0.011,4.0,9.0,
213,decrement,0,1.0,1.08,0.011,1.0,0.0,
213,decrement,5,1.0,1.1,0.012,1.0,0.0,
213,decrement,10,1.0,1.1,0.011,1.0,0.0,
213,decrement,20,1.0,1.09,0.011,1.0,0.0,
213,increment,0,4.0,1.08,0.011,4.0,0.0,
213,increment,5,4.0,1.1,0.012,4.0,0.0,
213,increment,10,4.0,1.1,0.011,2.0,0.0,
213,increment,20,4.0,1.09,0.011,4.0,0.0,
214,decrement,0,3.0,1.09,0.011,3.0,0.0,
214,decrement,5,3.0,1.1,0.011,8.0,0.0,
214,decrement,10,3.0,1.1,0.011,3.0,0.0,
214,decrement,20,3.0,1.11,0.012,3.0,0.0,
214,increment,0,2.0,1.09,0.011,2.0,0.0,
214,increment,5,2.0,1.1,0.011,1.0,0.0,
214,increment,10,2.0,1.1,0.011,2.0,0.0,
214,increment,20,2.0,1.11,0.012,2.0,0.0,
215,decrement,0,4.0,1.1,0.009,3.0,0.0,
215,decrement,5,4.0,1.1,0.012,1.0,0.0,
215,decrement,10,4.0,1.09,0.011,1.0,0.0,
215,decrement,20,4.0,1.12,0.01,2.0,0.0,
215,increment,0,3.0,1.1,0.009,2.0,0.0,
215,increment,5,3.0,1.1,0.012,3.0,0.0,
215,increment,10,3.0,1.09,0.011,1.0,0.0,
215,increment,20,3.0,1.12,0.01,1.0,0.0,
216,decrement,0,3.0,1.1,0.011,2.0,13.0,
216,decrement,5,3.0,1.08,0.011,2.0,13.0,
216,decrement,10,3.0,1.11,0.011,3.0,13.0,
216,decrement,20,3.0,1.1,0.011,1.0,13.0,
216,increment,0,7.0,1.1,0.011,5.0,13.0,
216,increment,5,7.0,1.08,0.011,7.0,13.0,
216,increment,10,7.0,1.11,0.011,5.0,13.0,
216,increment,20,7.0,1.1,0.011,5.0,13.0,
217,decrement,0,3.0,1.1,0.011,3.0,0.0,
217,decrement,5,3.0,1.1,0.008,3.0,0.0,
217,decrement,10,3.0,1.1,0.011,2.0,0.0,
217,decrement,20,3.0,1.1,0.011,1.0,0.0,
217,increment,0,3.0,1.1,0.011,3.0,0.0,
217,increment,5,3.0,1.1,0.008,3.0,0.0,
217,increment,10,3.0,1.1,0.011,3.0,0.0,
217,increment,20,3.0,1.1,0.011,3.0,0.0,
218,decrement,0,3.0,1.16,0.011,3.0,0.0,
218,decrement,5,3.0,1.1,0.011,7.0,0.0,
218,decrement,10,3.0,1.12,0.009,0.0,0.0,
218,decrement,20,3.0,1.15,0.011,3.0,0.0,
218,increment,0,6.0,1.16,0.011,0.0,0.0,
218,increment,5,6.0,1.1,0.011,3.0,0.0,
218,increment,10,6.0,1.12,0.009,5.0,0.0,
218,increment,20,6.0,1.15,0.011,4.0,0.0,
219,decrement,0,3.0,1.1,0.009,3.0,0.0,
219,decrement,5,3.0,1.16,0.011,3.0,0.0,
219,decrement,10,3.0,1.19,0.009,3.0,0.0,
219,decrement,20,3.0,1.1,0.011,3.0,0.0,
219,increment,0,6.0,1.1,0.009,6.0,0.0,
219,increment,5,6.0,1.16,0.011,3.0,0.0,
219,increment,10,6.0,1.19,0.009,4.0,0.0,
219,increment,20,6.0,1.1,0.011,6.0,0.0,
220,decrement,0,7.0,1.09,0.011,7.0,0.0,
220,decrement,5,7.0,1.22,0.011,7.0,0.0,
220,decrement,10,7.0,1.1,0.011,7.0,0.0,
220,decrement,20,7.0,1.1,0.011,7.0,0.0,
220,increment,0,6.0,1.09,0.011,4.0,0.0,
220,increment,5,6.0,1.22,0.011,0.0,0.0,
220,increment,10,6.0,1.1,0.011,6.0,0.0,
220,increment,20,6.0,1.1,0.011,3.0,0.0,
221,decrement,0,2.0,1.09,0.011,5.0,0.0,
221,decrement,5,2.0,1.09,0.009,0.0,0.0,
221,decrement,10,2.0,1.08,0.01,2.0,0.0,
221,decrement,20,2.0,1.1,0.012,2.0,0.0,
221,increment,0,3.0,1.09,0.011,3.0,0.0,
221,increment,5,3.0,1.09,0.009,4.0,0.0,
221,increment,10,3.0,1.08,0.01,4.0,0.0,
221,increment,20,3.0,1.1,0.012,3.0,0.0,
222,decrement,0,3.0,1.07,0.011,2.0,0.0,
222,decrement,5,3.0,1.1,0.011,4.0,0.0,
222,decrement,10,3.0,1.1,0.011,2.0,0.0,
222,decrement,20,3.0,1.1,0.011,2.0,0.0,
222,increment,0,3.0,1.07,0.011,3.0,0.0,
222,increment,5,3.0,1.1,0.011,3.0,0.0,
222,increment,10,3.0,1.1,0.011,3.0,0.0,
222,increment,20,3.0,1.1,0.011,3.0,0.0,
223,decrement,0,3.0,1.07,0.011,2.0,0.0,
223,decrement,5,3.0,1.07,0.012,3.0,0.0,
223,decrement,10,3.0,1.1,0.011,3.0,0.0,
223,decrement,20,3.0,1.09,0.015,4.0,0.0,
223,increment,0,4.0,1.07,0.011,4.0,0.0,
223,increment,5,4.0,1.07,0.012,4.0,0.0,
223,increment,10,4.0,1.1,0.011,4.0,0.0,
223,increment,20,4.0,1.09,0.015,4.0,0.0,
224,decrement,0,5.0,1.06,0.011,8.0,0.0,
224,decrement,5,5.0,1.15,0.011,5.0,0.0,
224,decrement,10,5.0,1.1,0.011,5.0,0.0,
224,decrement,20,5.0,1.1,0.011,2.0,0.0,
224,increment,0,5.0,1.06,0.011,4.0,0.0,
224,increment,5,5.0,1.15,0.011,0.0,0.0,
224,increment,10,5.0,1.1,0.011,4.0,0.0,
224,increment,20,5.0,1.1,0.011,6.0,0.0,
225,decrement,0,1.0,1.07,0.012,0.0,0.0,
225,decrement,5,1.0,1.1,0.011,1.0,0.0,
225,decrement,10,1.0,1.1,0.011,1.0,0.0,
225,decrement,20,1.0,1.1,0.011,0.0,0.0,
225,increment,0,4.0,1.07,0.012,4.0,0.0,
225,increment,5,4.0,1.1,0.011,4.0,0.0,
225,increment,10,4.0,1.1,0.011,4.0,0.0,
225,increment,20,4.0,1.1,0.011,4.0,0.0,
226,decrement,0,1.0,1.08,0.011,1.0,0.0,
226,decrement,5,1.0,1.1,0.011,1.0,0.0,
226,decrement,10,1.0,1.13,0.013,1.0,0.0,
226,decrement,20,1.0,1.1,0.011,1.0,0.0,
226,increment,0,6.0,1.08,0.011,4.0,0.0,
226,increment,5,6.0,1.1,0.011,4.0,0.0,
226,increment,10,6.0,1.13,0.013,3.0,0.0,
226,increment,20,6.0,1.1,0.011,6.0,0.0,
227,decrement,0,1.0,1.13,0.011,0.0,15.0,
227,decrement,5,1.0,1.1,0.011,0.0,15.0,
227,decrement,10,1.0,1.1,0.011,0.0,15.0,
227,decrement,20,1.0,1.1,0.013,2.0,15.0,
227,increment,0,3.0,1.13,0.011,3.0,15.0,
227,increment,5,3.0,1.1,0.011,3.0,15.0,
227,increment,10,3.0,1.1,0.011,2.0,15.0,
227,increment,20,3.0,1.1,0.013,2.0,15.0,
228,decrement,0,1.0,1.21,0.009,0.0,0.0,
228,decrement,5,1.0,1.1,0.011,1.0,0.0,
228,decrement,10,1.0,1.08,0.011,0.0,0.0,
228,decrement,20,1.0,1.1,0.011,1.0,0.0,
228,increment,0,3.0,1.21,0.009,0.0,0.0,
228,increment,5,3.0,1.1,0.011,3.0,0.0,
228,increment,10,3.0,1.08,0.011,3.0,0.0,
228,increment,20,3.0,1.1,0.011,3.0,0.0,
229,decrement,0,1.0,1.09,0.011,0.0,0.0,
229,decrement,5,1.0,1.13,0.011,1.0,0.0,
229,decrement,10,1.0,1.09,0.011,1.0,0.0,
229,decrement,20,1.0,1.07,0.011,2.0,0.0,
229,increment,0,3.0,1.09,0.011,3.0,0.0,
229,increment,5,3.0,1.13,0.011,3.0,0.0,
229,increment,10,3.0,1.09,0.011,3.0,0.0,
229,increment,20,3.0,1.07,0.011,3.0,0.0,
230,decrement,0,4.0,1.08,0.011,4.0,0.0,
230,decrement,5,4.0,1.09,0.011,3.0,0.0,
230,decrement,10,4.0,1.1,0.013,4.0,0.0,
230,decrement,20,4.0,1.1,0.011,4.0,0.0,
230,increment,0,3.0,1.08,0.011,3.0,0.0,
230,increment,5,3.0,1.09,0.011,3.0,0.0,
230,increment,10,3.0,1.1,0.013,2.0,0.0,
230,increment,20,3.0,1.1,0.011,3.0,0.0,
232,decrement,0,4.0,1.26,0.011,7.0,0.0,
232,decrement,5,4.0,1.1,0.011,2.0,0.0,
232,decrement,10,4.0,1.09,0.014,4.0,0.0,
232,decrement,20,4.0,1.1,0.011,0.0,0.0,
232,increment,0,3.0,1.26,0.011,0.0,0.0,
232,increment,5,3.0,1.1,0.011,3.0,0.0,
232,increment,10,3.0,1.09,0.014,2.0,0.0,
232,increment,20,3.0,1.1,0.011,3.0,0.0,
233,decrement,0,1.0,1.09,0.011,0.0,0.0,
233,decrement,5,1.0,1.1,0.011,1.0,0.0,
233,decrement,10,1.0,1.09,0.011,1.0,0.0,
233,decrement,20,1.0,1.1,0.009,0.0,0.0,
233,increment,0,2.0,1.09,0.011,4.0,0.0,
233,increment,5,2.0,1.1,0.011,2.0,0.0,
233,increment,10,2.0,1.09,0.011,1.0,0.0,
233,increment,20,2.0,1.1,0.009,2.0,0.0,
234,decrement,0,6.0,1.21,0.011,5.0,0.0,
234,decrement,5,6.0,1.13,0.006,0.0,0.0,
234,decrement,10,6.0,1.15,0.011,3.0,0.0,
234,decrement,20,6.0,1.21,0.013,5.0,0.0,
234,increment,0,7.0,1.21,0.011,2.0,0.0,
234,increment,5,7.0,1.13,0.006,7.0,0.0,
234,increment,10,7.0,1.15,0.011,6.0,0.0,
234,increment,20,7.0,1.21,0.013,3.0,0.0,
235,decrement,0,2.0,1.27,0.011,0.0,10.0,
235,decrement,5,2.0,1.1,0.011,2.0,10.0,
235,decrement,10,2.0,1.1,0.011,1.0,10.0,
235,decrement,20,2.0,1.12,0.01,2.0,10.0,
235,increment,0,1.0,1.27,0.011,0.0,10.0,
235,increment,5,1.0,1.1,0.011,1.0,10.0,
235,increment,10,1.0,1.1,0.011,1.0,10.0,
235,increment,20,1.0,1.12,0.01,1.0,10.0,
236,decrement,0,2.0,1.14,0.007,1.0,0.0,
236,decrement,5,2.0,1.1,0.011,2.0,0.0,
236,decrement,10,2.0,1.09,0.011,1.0,0.0,
236,decrement,20,2.0,1.12,0.011,0.0,0.0,
236,increment,0,4.0,1.14,0.007,0.0,0.0,
236,increment,5,4.0,1.1,0.011,4.0,0.0,
236,increment,10,4.0,1.09,0.011,4.0,0.0,
236,increment,20,4.0,1.12,0.011,4.0,0.0,
237,decrement,0,5.0,1.12,0.011,3.0,0.0,
237,decrement,5,5.0,1.1,0.013,4.0,0.0,
237,decrement,10,5.0,1.1,0.011,5.0,0.0,
237,decrement,20,5.0,1.1,0.01,4.0,0.0,
237,increment,0,3.0,1.12,0.011,4.0,0.0,
237,increment,5,3.0,1.1,0.013,3.0,0.0,
237,increment,10,3.0,1.1,0.011,2.0,0.0,
237,increment,20,3.0,1.1,0.01,3.0,0.0,
238,decrement,0,7.0,1.11,0.011,2.0,0.0,
238,decrement,5,7.0,1.1,0.011,1.0,0.0,
238,decrement,10,7.0,1.21,0.011,7.0,0.0,
238,decrement,20,7.0,1.1,0.011,4.0,0.0,
238,increment,0,5.0,1.11,0.011,4.0,0.0,
238,increment,5,5.0,1.1,0.011,5.0,0.0,
238,increment,10,5.0,1.21,0.011,0.0,0.0,
238,increment,20,5.0,1.1,0.011,0.0,0.0,
239,decrement,0,4.0,1.09,0.013,4.0,0.0,
239,decrement,5,4.0,1.1,0.011,3.0,0.0,
239,decrement,10,4.0,1.11,0.011,4.0,0.0,
239,decrement,20,4.0,1.11,0.011,4.0,0.0,
239,increment,0,5.0,1.09,0.013,5.0,0.0,
239,increment,5,5.0,1.1,0.011,5.0,0.0,
239,increment,10,5.0,1.11,0.011,5.0,0.0,
239,increment,20,5.0,1.11,0.011,4.0,0.0,
240,decrement,0,3.0,1.11,0.01,3.0,15.0,
240,decrement,5,3.0,1.09,0.013,3.0,15.0,
240,decrement,10,3.0,1.1,0.011,1.0,15.0,
240,decrement,20,3.0,1.1,0.011,3.0,15.0,
240,increment,0,3.0,1.11,0.01,2.0,15.0,
240,increment,5,3.0,1.09,0.013,3.0,15.0,
240,increment,10,3.0,1.1,0.011,3.0,15.0,
240,increment,20,3.0,1.1,0.011,3.0,15.0,
241,decrement,0,1.0,1.08,0.011,1.0,0.0,
241,decrement,5,1.0,1.09,0.012,1.0,0.0,
241,decrement,10,1.0,1.1,0.011,1.0,0.0,
241,decrement,20,1.0,1.09,0.011,1.0,0.0,
241,increment,0,4.0,1.08,0.011,4.0,0.0,
241,increment,5,4.0,1.09,0.012,4.0,0.0,
241,increment,10,4.0,1.1,0.011,6.0,0.0,
241,increment,20,4.0,1.09,0.011,4.0,0.0,
