grating_freq,blocks_prac.thisRepN,blocks_prac.thisTrialN,blocks_prac.thisN,blocks_prac.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,repeat_freq.thisRepN,repeat_freq.thisTrialN,repeat_freq.thisN,repeat_freq.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_loop.thisRepN,break_loop.thisTrialN,break_loop.thisN,break_loop.thisIndex,rest_loop.thisRepN,rest_loop.thisTrialN,rest_loop.thisN,rest_loop.thisIndex,instruct_prac_text.started,instruct_prac_resp.started,b_instruct_text_2_.started,b_instruct_resp_2_.started,prac_done_text.started,prac_done_resp.started,instruct_text.started,instruct_resp.started,fixation.started,fixation.stopped,grating.started,blank.started,resp.started,grating.stopped,blank.stopped,resp.stopped,resp.keys,resp.corr,direction,duration,trigger,stim_type,corr_ans,scaling,resp.rt,rest_text.started,rest_resp.started,text_2.started,text_2.stopped,thx_txt.started,thx_txt.stopped,gender,age,participant,language,main_hand,nBlock_prac,file_suffix,date,expName,psychopyVersion,frameRate,
5,,,,,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,21.15589480000017,21.15589480000017,27.546732699998756,27.546732699998756,40.53027699999984,40.53027699999984,57.43472660000043,57.43472660000043,60.01442700000007,60.69546210000044,60.69546210000044,61.26428549999946,0.5994984000008117,61.2974452999988,63.2643623999993,2.5995856000008644,None,1,decreament,0.6,11,standard,None,100,,,,,,,,m,20,233,fr,r,0,raw,2023-04-04_16h00.03.122,oddball,2022.2.5,60.204913443599324,
5,,,,,0,0,0,1,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,63.280984199998784,63.86435700000038,63.86435700000038,64.44814550000046,0.600001800001337,64.46474859999944,66.44769850000012,2.599442300001101,None,1,decreament,0.6,11,standard,None,100,,,,,,,,m,20,233,fr,r,0,raw,2023-04-04_16h00.03.122,oddball,2022.2.5,60.204913443599324,
5,,,,,0,0,0,1,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,66.46449419999954,67.16449959999954,67.16449959999954,67.74777209999957,0.5995061999983591,67.76448429999982,69.7482215,2.6000776999990194,None,1,decreament,0.6,11,standard,None,100,,,,,,,,m,20,233,fr,r,0,raw,2023-04-04_16h00.03.122,oddball,2022.2.5,60.204913443599324,
5,,,,,0,0,0,1,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,69.76477919999888,70.49821580000025,70.49821580000025,71.0816591999992,0.615489300000263,71.09824149999986,73.08160920000046,2.6153911000001244,None,1,decreament,0.6,11,standard,None,100,,,,,,,,m,20,233,fr,r,0,raw,2023-04-04_16h00.03.122,oddball,2022.2.5,60.204913443599324,
5,,,,,0,0,0,1,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,73.11477279999963,73.76531719999912,73.76531719999912,74.36472390000017,0.614593899999818,74.36472390000017,76.36495110000033,2.614831000000777,None,1,decreament,0.6,11,standard,None,100,,,,,,,,m,20,233,fr,r,0,raw,2023-04-04_16h00.03.122,oddball,2022.2.5,60.204913443599324,
5,,,,,0,0,0,1,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,76.38151509999989,77.04809289999866,77.04809289999866,77.63153359999887,0.5995568999987881,77.64811550000013,79.63193829999909,2.60015249999924,None,1,decreament,0.6,11,standard,None,100,,,,,,,,m,20,233,fr,r,0,raw,2023-04-04_16h00.03.122,oddball,2022.2.5,60.204913443599324,
5,,,,,0,0,0,1,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,79.64836509999986,80.29875879999963,80.29875879999963,80.89850669999942,0.6148379999995086,80.89850669999942,82.8984588000003,2.614705399999366,None,1,decreament,0.6,11,standard,None,100,,,,,,,,m,20,233,fr,r,0,raw,2023-04-04_16h00.03.122,oddball,2022.2.5,60.204913443599324,
5,,,,,0,0,0,1,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,82.91510670000025,83.58180569999968,83.58180569999968,83.93176109999877,0.3653742999995302,83.94825560000027,85.93237869999939,2.3660402999994403,j,1,decreament,0.36,13,oddball,j,60,0.3691161999995529,,,,,,,m,20,233,fr,r,0,raw,2023-04-04_16h00.03.122,oddball,2022.2.5,60.204913443599324,
5,,,,,0,0,0,1,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,85.94867229999909,86.63218070000039,86.63218070000039,87.21561649999967,0.600007099999857,87.23216800000046,89.21530069999972,2.599621899998965,None,1,decreament,0.6,11,standard,None,100,,,,,,,,m,20,233,fr,r,0,raw,2023-04-04_16h00.03.122,oddball,2022.2.5,60.204913443599324,
5,,,,,0,0,0,1,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,89.2318250999997,89.86575989999983,89.86575989999983,90.46575610000036,0.6153802999997424,90.46575610000036,92.46541149999939,2.614918299999772,None,1,decreament,0.6,11,standard,None,100,,,,,,,,m,20,233,fr,r,0,raw,2023-04-04_16h00.03.122,oddball,2022.2.5,60.204913443599324,
