grating_freq,blocks_prac.thisRepN,blocks_prac.thisTrialN,blocks_prac.thisN,blocks_prac.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,repeat_freq.thisRepN,repeat_freq.thisTrialN,repeat_freq.thisN,repeat_freq.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_loop.thisRepN,break_loop.thisTrialN,break_loop.thisN,break_loop.thisIndex,rest_loop.thisRepN,rest_loop.thisTrialN,rest_loop.thisN,rest_loop.thisIndex,instruct_prac_text.started,instruct_prac_resp.started,b_instruct_text_2_.started,b_instruct_resp_2_.started,prac_done_text.started,prac_done_resp.started,instruct_text.started,instruct_resp.started,fixation.started,fixation.stopped,grating.started,blank.started,grating.stopped,resp.started,blank.stopped,resp.stopped,resp.keys,resp.corr,direction,duration,trigger,stim_type,corr_ans,scaling,resp.rt,rest_text.started,rest_resp.started,text_2.started,text_2.stopped,thx_txt.started,gender,age,participant,language,main_hand,nBlock_prac,file_suffix,date,expName,psychopyVersion,frameRate,
10,,,,,0,0,0,2,0,0,0,0,0,0,0,0,,,,,,,,,23.546196699999655,23.546196699999655,30.853378599999814,30.853378599999814,32.685334099999636,32.685334099999636,42.59710469999982,42.59710469999982,45.424655599999824,46.087646499999664,46.087646499999664,46.67381939999996,46.689997799999674,0.6158924999999726,48.68837089999988,2.6304371000001083,None,1,decreament,0.6,21,standard,None,100,,,,,,,m,35,235,fr,r,0,raw,2023-04-13_08h56.58.722,oddball,2022.2.5,59.96210395029002,
10,,,,,0,0,0,2,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,48.705277000000024,49.5045213999997,49.5045213999997,50.103983499999686,50.103983499999686,0.6151446000003489,52.118911300000036,2.6300647000002755,None,1,decreament,0.6,21,standard,None,100,,,,,,,m,35,235,fr,r,0,raw,2023-04-13_08h56.58.722,oddball,2022.2.5,59.96210395029002,
10,,,,,0,0,0,2,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,52.13559039999973,52.768422699999974,52.768422699999974,53.367856500000016,53.367856500000016,0.6154074000000946,55.38283659999979,2.630382300000292,None,1,decreament,0.6,21,standard,None,100,,,,,,,m,35,235,fr,r,0,raw,2023-04-13_08h56.58.722,oddball,2022.2.5,59.96210395029002,
10,,,,,0,0,0,2,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,55.399709699999676,56.01565199999959,56.01565199999959,56.6152076999997,56.6152076999997,0.5990225999998984,58.62994929999968,2.6137862999999015,None,1,decreament,0.6,21,standard,None,100,,,,,,,m,35,235,fr,r,0,raw,2023-04-13_08h56.58.722,oddball,2022.2.5,59.96210395029002,
10,,,,,0,0,0,2,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,58.62994929999968,59.26300309999988,59.26300309999988,59.8623192,59.8623192,0.5990099000000555,61.8773369999999,2.6140418999998474,None,1,decreament,0.6,21,standard,None,100,,,,,,,m,35,235,fr,r,0,raw,2023-04-13_08h56.58.722,oddball,2022.2.5,59.96210395029002,
10,,,,,0,0,0,2,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,61.8773369999999,62.51014329999998,62.51014329999998,63.10958189999974,63.10958189999974,0.6153449999997065,65.12458479999987,2.6303485999997065,None,1,decreament,0.6,21,standard,None,100,,,,,,,m,35,235,fr,r,0,raw,2023-04-13_08h56.58.722,oddball,2022.2.5,59.96210395029002,
10,,,,,0,0,0,2,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,65.14124719999973,65.77399719999994,65.77399719999994,66.37359449999985,66.37359449999985,0.6152922000001126,68.38857749999988,2.6302504000000226,None,1,decreament,0.6,21,standard,None,100,,,,,,,m,35,235,fr,r,0,raw,2023-04-13_08h56.58.722,oddball,2022.2.5,59.96210395029002,
10,,,,,0,0,0,2,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,68.4053259999996,69.17121299999963,69.17121299999963,69.77073489999975,69.77073489999975,0.6153561000000991,71.78565159999971,2.630270400000427,None,1,decreament,0.6,21,standard,None,100,,,,,,,m,35,235,fr,r,0,raw,2023-04-13_08h56.58.722,oddball,2022.2.5,59.96210395029002,
10,,,,,0,0,0,2,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,71.80231229999981,72.6847872999997,72.6847872999997,73.28439359999993,73.28439359999993,0.6156547000000501,75.29936839999982,2.63063000000011,None,1,decreament,0.6,21,standard,None,100,,,,,,,m,35,235,fr,r,0,raw,2023-04-13_08h56.58.722,oddball,2022.2.5,59.96210395029002,
10,,,,,0,0,0,2,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,75.31607749999966,75.99886909999987,75.99886909999987,76.59835949999979,76.59835949999979,0.6153763000002073,78.61321139999973,2.6302169999999023,j,0,decreament,0.6,21,standard,None,100,0.9833948000000419,,,,,,m,35,235,fr,r,0,raw,2023-04-13_08h56.58.722,oddball,2022.2.5,59.96210395029002,
