grating_freq,blocks_prac.thisRepN,blocks_prac.thisTrialN,blocks_prac.thisN,blocks_prac.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,repeat_freq.thisRepN,repeat_freq.thisTrialN,repeat_freq.thisN,repeat_freq.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_loop.thisRepN,break_loop.thisTrialN,break_loop.thisN,break_loop.thisIndex,rest_loop.thisRepN,rest_loop.thisTrialN,rest_loop.thisN,rest_loop.thisIndex,instruct_prac_text.started,instruct_prac_resp.started,b_instruct_text_2_.started,b_instruct_resp_2_.started,prac_done_text.started,prac_done_resp.started,instruct_text.started,instruct_resp.started,fixation.started,fixation.stopped,grating.started,blank.started,resp.started,grating.stopped,blank.stopped,resp.stopped,resp.keys,resp.corr,direction,duration,trigger,stim_type,corr_ans,scaling,resp.rt,rest_text.started,rest_resp.started,text_2.started,text_2.stopped,thx_txt.started,gender,age,participant,language,main_hand,nBlock_prac,file_suffix,date,expName,psychopyVersion,frameRate,
20,,,,,0,0,0,3,0,0,0,0,0,0,0,0,,,,,,,,,21.26402020000387,21.26402020000387,38.91181810002308,38.91181810002308,78.94995979999658,78.94995979999658,90.3428437000257,90.3428437000257,96.39757089997875,97.13550069998018,97.13550069998018,97.6798593000276,0.6149795999517664,97.746319900034,99.69473500002641,2.6298623000038788,None,1,increament,0.6,45,standard,None,100,,,,,,,f,21,236,fr,r,0,raw,2023-04-17_09h27.50.228,oddball,2022.2.5,60.098501424270474,
20,,,,,0,0,0,3,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,99.71152260003146,100.27768340002513,100.27768340002513,100.87716680002632,0.6150849999976344,100.87716680002632,102.892382799997,2.6302971999975853,None,1,increament,0.6,45,standard,None,100,,,,,,,f,21,236,fr,r,0,raw,2023-04-17_09h27.50.228,oddball,2022.2.5,60.098501424270474,
20,,,,,0,0,0,3,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,102.90941070002737,103.54192940000212,103.54192940000212,104.14167340000859,0.6152413000236265,104.14167340000859,106.15630969998892,2.6298583000316285,None,1,increament,0.6,45,standard,None,100,,,,,,,f,21,236,fr,r,0,raw,2023-04-17_09h27.50.228,oddball,2022.2.5,60.098501424270474,
20,,,,,0,0,0,3,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,106.17334229999688,106.75604270002805,106.75604270002805,107.35548859997652,0.6155416999827139,107.35548859997652,109.37069270003121,2.630739199987147,None,1,increament,0.6,45,standard,None,100,,,,,,,f,21,236,fr,r,0,raw,2023-04-17_09h27.50.228,oddball,2022.2.5,60.098501424270474,
20,,,,,0,0,0,3,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,109.38708529999712,110.05345040000975,110.05345040000975,110.65299660002347,0.615377499954775,110.65299660002347,112.6676024000044,2.6299448999925517,None,1,increament,0.6,45,standard,None,100,,,,,,,f,21,236,fr,r,0,raw,2023-04-17_09h27.50.228,oddball,2022.2.5,60.098501424270474,
20,,,,,0,0,0,3,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,112.68442609999329,113.45076289999997,113.45076289999997,114.39959129999625,0.9648934999713674,114.4163882000139,116.41488609998487,2.980192899995018,None,0,increament,0.96,48,oddball,j,160,,,,,,,f,21,236,fr,r,0,raw,2023-04-17_09h27.50.228,oddball,2022.2.5,60.098501424270474,
20,,,,,0,0,0,3,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,116.43113989999983,117.01440739998361,117.01440739998361,117.6139560000156,0.6154895999934524,117.6139560000156,119.62846869998612,2.6299879999714904,None,1,increament,0.6,45,standard,None,100,,,,,,,f,21,236,fr,r,0,raw,2023-04-17_09h27.50.228,oddball,2022.2.5,60.098501424270474,
20,,,,,0,0,0,3,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,119.64535369997611,120.31130350002786,120.31130350002786,120.91100999998162,0.5990996999898925,120.91100999998162,122.92591420002282,2.6140269999741577,None,1,increament,0.6,45,standard,None,100,,,,,,,f,21,236,fr,r,0,raw,2023-04-17_09h27.50.228,oddball,2022.2.5,60.098501424270474,
20,,,,,0,0,0,3,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,122.92591420002282,123.57516649999889,123.57516649999889,124.17509259999497,0.6153463000082411,124.17509259999497,126.19007389998296,2.630319599993527,None,1,increament,0.6,45,standard,None,100,,,,,,,f,21,236,fr,r,0,raw,2023-04-17_09h27.50.228,oddball,2022.2.5,60.098501424270474,
20,,,,,0,0,0,3,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,126.2070892000338,126.9061302000191,126.9061302000191,127.50530660001095,0.614646999980323,127.50530660001095,129.5202381000272,2.6295924999867566,None,1,increament,0.6,45,standard,None,100,,,,,,,f,21,236,fr,r,0,raw,2023-04-17_09h27.50.228,oddball,2022.2.5,60.098501424270474,
