participant,direction,grating,A0,a,start,A,B,n_step
201,decrement,0,8.0,1.11,0.011,2.0,0.0,22.0
201,decrement,5,8.0,1.08,0.013,8.0,0.0,22.0
201,decrement,10,8.0,1.17,0.011,8.0,0.0,22.0
201,decrement,20,8.0,1.1,0.01,8.0,0.0,22.0
201,increment,0,0.0,1.11,0.011,0.0,0.0,22.0
201,increment,5,0.0,1.08,0.013,0.0,0.0,22.0
201,increment,10,0.0,1.17,0.011,0.0,0.0,22.0
201,increment,20,0.0,1.1,0.01,0.0,0.0,22.0
202,decrement,0,7.0,1.1,0.011,7.0,0.0,20.0
202,decrement,5,7.0,1.08,0.011,7.0,0.0,20.0
202,decrement,10,7.0,1.19,0.014,7.0,0.0,20.0
202,decrement,20,7.0,1.22,0.011,7.0,0.0,20.0
202,increment,0,2.0,1.1,0.011,2.0,0.0,20.0
202,increment,5,2.0,1.08,0.011,0.0,0.0,20.0
202,increment,10,2.0,1.19,0.014,0.0,0.0,20.0
202,increment,20,2.0,1.22,0.011,0.0,0.0,20.0
203,decrement,0,8.0,1.06,0.011,2.0,0.0,22.0
203,decrement,5,8.0,1.13,0.011,7.0,0.0,22.0
203,decrement,10,8.0,1.11,0.011,8.0,0.0,22.0
203,decrement,20,8.0,1.1,0.011,6.0,0.0,22.0
203,increment,0,2.0,1.06,0.011,4.0,0.0,22.0
203,increment,5,2.0,1.13,0.011,2.0,0.0,22.0
203,increment,10,2.0,1.11,0.011,2.0,0.0,22.0
203,increment,20,2.0,1.1,0.011,2.0,0.0,22.0
204,decrement,0,7.0,1.07,0.011,4.0,0.0,27.0
204,decrement,5,7.0,1.09,0.013,6.0,0.0,27.0
204,decrement,10,7.0,1.1,0.009,7.0,0.0,27.0
204,decrement,20,7.0,1.09,0.011,3.0,0.0,27.0
204,increment,0,0.0,1.07,0.011,0.0,0.0,27.0
204,increment,5,0.0,1.09,0.013,0.0,0.0,27.0
204,increment,10,0.0,1.1,0.009,1.0,0.0,27.0
204,increment,20,0.0,1.09,0.011,0.0,0.0,27.0
205,decrement,0,7.0,1.13,0.011,7.0,0.0,25.0
205,decrement,5,7.0,1.1,0.011,7.0,0.0,25.0
205,decrement,10,7.0,1.1,0.011,5.0,0.0,25.0
205,decrement,20,7.0,1.12,0.011,7.0,0.0,25.0
205,increment,0,2.0,1.13,0.011,1.0,0.0,25.0
205,increment,5,2.0,1.1,0.011,2.0,0.0,25.0
205,increment,10,2.0,1.1,0.011,1.0,0.0,25.0
205,increment,20,2.0,1.12,0.011,2.0,0.0,25.0
206,decrement,0,8.0,1.13,0.011,8.0,0.0,18.0
206,decrement,5,8.0,1.1,0.011,8.0,0.0,18.0
206,decrement,10,8.0,1.13,0.011,8.0,0.0,18.0
206,decrement,20,8.0,1.1,0.011,8.0,0.0,18.0
206,increment,0,0.0,1.13,0.011,0.0,0.0,18.0
206,increment,5,0.0,1.1,0.011,0.0,0.0,18.0
206,increment,10,0.0,1.13,0.011,0.0,0.0,18.0
206,increment,20,0.0,1.1,0.011,0.0,0.0,18.0
207,decrement,0,8.0,1.09,0.011,5.0,0.0,21.0
207,decrement,5,8.0,1.1,0.008,6.0,0.0,21.0
207,decrement,10,8.0,1.1,0.013,7.0,0.0,21.0
207,decrement,20,8.0,1.07,0.014,5.0,0.0,21.0
207,increment,0,2.0,1.09,0.011,2.0,0.0,21.0
207,increment,5,2.0,1.1,0.008,2.0,0.0,21.0
207,increment,10,2.0,1.1,0.013,2.0,0.0,21.0
207,increment,20,2.0,1.07,0.014,2.0,0.0,21.0
208,decrement,0,8.0,1.03,0.013,1.0,0.0,22.0
208,decrement,5,8.0,1.05,0.015,7.0,0.0,22.0
208,decrement,10,8.0,1.1,0.008,8.0,0.0,22.0
208,decrement,20,8.0,1.06,0.011,8.0,0.0,22.0
208,increment,0,0.0,1.03,0.013,0.0,0.0,22.0
208,increment,5,0.0,1.05,0.015,0.0,0.0,22.0
208,increment,10,0.0,1.1,0.008,0.0,0.0,22.0
208,increment,20,0.0,1.06,0.011,0.0,0.0,22.0
209,decrement,0,7.0,1.15,0.011,7.0,0.0,11.0
209,decrement,5,7.0,1.16,0.011,7.0,0.0,11.0
209,decrement,10,7.0,1.09,0.011,5.0,0.0,11.0
209,decrement,20,7.0,1.1,0.011,7.0,0.0,11.0
209,increment,0,0.0,1.15,0.011,0.0,0.0,11.0
209,increment,5,0.0,1.16,0.011,0.0,0.0,11.0
209,increment,10,0.0,1.09,0.011,0.0,0.0,11.0
209,increment,20,0.0,1.1,0.011,0.0,0.0,11.0
210,decrement,0,8.0,1.05,0.014,5.0,0.0,28.0
210,decrement,5,8.0,1.06,0.011,1.0,0.0,28.0
210,decrement,10,8.0,1.06,0.01,2.0,0.0,28.0
210,decrement,20,8.0,1.11,0.011,8.0,0.0,28.0
210,increment,0,2.0,1.05,0.014,5.0,0.0,28.0
210,increment,5,2.0,1.06,0.011,2.0,0.0,28.0
210,increment,10,2.0,1.06,0.01,2.0,0.0,28.0
210,increment,20,2.0,1.11,0.011,1.0,0.0,28.0
211,decrement,0,8.0,1.14,0.011,0.0,0.0,27.0
211,decrement,5,8.0,1.13,0.011,8.0,0.0,27.0
211,decrement,10,8.0,1.1,0.011,0.0,0.0,27.0
211,decrement,20,8.0,1.11,0.011,0.0,0.0,27.0
211,increment,0,2.0,1.14,0.011,0.0,0.0,27.0
211,increment,5,2.0,1.13,0.011,2.0,0.0,27.0
211,increment,10,2.0,1.1,0.011,0.0,0.0,27.0
211,increment,20,2.0,1.11,0.011,0.0,0.0,27.0
212,decrement,0,8.0,1.11,0.011,8.0,0.0,19.0
212,decrement,5,8.0,1.1,0.011,8.0,0.0,19.0
212,decrement,10,8.0,1.12,0.013,7.0,0.0,19.0
212,decrement,20,8.0,1.12,0.011,3.0,0.0,19.0
212,increment,0,1.0,1.11,0.011,1.0,0.0,19.0
212,increment,5,1.0,1.1,0.011,1.0,0.0,19.0
212,increment,10,1.0,1.12,0.013,0.0,0.0,19.0
212,increment,20,1.0,1.12,0.011,0.0,0.0,19.0
213,decrement,0,8.0,1.06,0.011,5.0,0.0,27.0
213,decrement,5,8.0,1.08,0.013,7.0,0.0,27.0
213,decrement,10,8.0,1.06,0.011,7.0,0.0,27.0
213,decrement,20,8.0,1.06,0.014,4.0,0.0,27.0
213,increment,0,0.0,1.06,0.011,0.0,0.0,27.0
213,increment,5,0.0,1.08,0.013,0.0,0.0,27.0
213,increment,10,0.0,1.06,0.011,0.0,0.0,27.0
213,increment,20,0.0,1.06,0.014,0.0,0.0,27.0
214,decrement,0,8.0,1.07,0.011,7.0,0.0,18.0
214,decrement,5,8.0,1.11,0.011,8.0,0.0,18.0
214,decrement,10,8.0,1.08,0.01,7.0,0.0,18.0
214,decrement,20,8.0,1.1,0.009,8.0,0.0,18.0
214,increment,0,0.0,1.07,0.011,0.0,0.0,18.0
214,increment,5,0.0,1.11,0.011,0.0,0.0,18.0
214,increment,10,0.0,1.08,0.01,0.0,0.0,18.0
214,increment,20,0.0,1.1,0.009,0.0,0.0,18.0
215,decrement,0,8.0,1.07,0.011,4.0,0.0,23.0
215,decrement,5,8.0,1.1,0.011,4.0,0.0,23.0
215,decrement,10,8.0,1.09,0.011,6.0,0.0,23.0
215,decrement,20,8.0,1.1,0.011,8.0,0.0,23.0
215,increment,0,0.0,1.07,0.011,0.0,0.0,23.0
215,increment,5,0.0,1.1,0.011,0.0,0.0,23.0
215,increment,10,0.0,1.09,0.011,0.0,0.0,23.0
215,increment,20,0.0,1.1,0.011,0.0,0.0,23.0
216,decrement,0,8.0,1.06,0.013,8.0,0.0,16.0
216,decrement,5,8.0,1.1,0.011,8.0,0.0,16.0
216,decrement,10,8.0,1.1,0.011,8.0,0.0,16.0
216,decrement,20,8.0,1.1,0.009,6.0,0.0,16.0
216,increment,0,2.0,1.06,0.013,2.0,0.0,16.0
216,increment,5,2.0,1.1,0.011,1.0,0.0,16.0
216,increment,10,2.0,1.1,0.011,2.0,0.0,16.0
216,increment,20,2.0,1.1,0.009,2.0,0.0,16.0
217,decrement,0,8.0,1.06,0.013,8.0,0.0,18.0
217,decrement,5,8.0,1.05,0.011,3.0,0.0,18.0
217,decrement,10,8.0,1.08,0.015,6.0,0.0,18.0
217,decrement,20,8.0,1.1,0.011,8.0,0.0,18.0
217,increment,0,1.0,1.06,0.013,1.0,0.0,18.0
217,increment,5,1.0,1.05,0.011,6.0,0.0,18.0
217,increment,10,1.0,1.08,0.015,0.0,0.0,18.0
217,increment,20,1.0,1.1,0.011,1.0,0.0,18.0
218,decrement,0,8.0,1.19,0.01,5.0,11.0,30.0
218,decrement,5,8.0,1.09,0.011,6.0,11.0,30.0
218,decrement,10,8.0,1.1,0.011,3.0,11.0,30.0
218,decrement,20,8.0,1.17,0.011,8.0,11.0,30.0
218,increment,0,1.0,1.19,0.01,0.0,11.0,30.0
218,increment,5,1.0,1.09,0.011,6.0,11.0,30.0
218,increment,10,1.0,1.1,0.011,1.0,11.0,30.0
218,increment,20,1.0,1.17,0.011,1.0,11.0,30.0
219,decrement,0,8.0,1.11,0.011,8.0,0.0,22.0
219,decrement,5,8.0,1.1,0.011,7.0,0.0,22.0
