labels,sph_radius,sph_theta,sph_phi,theta,radius,X,Y,Z,type,ref,urchan
Fp1,1,18,0,-18,0.5,0.951056516295154,0.309016994374947,0,,TP9 TP10 ,
Fz,1,0,45,-0,0.25,0.707106781186548,0,0.707106781186547,,TP9 TP10 ,
F3,1,39,30,-39,0.333333333333333,0.673028145070219,0.545007445768716,0.5,,TP9 TP10 ,
F7,1,54,0,-54,0.5,0.587785252292473,0.809016994374947,0,,TP9 TP10 ,
FT9,1,72,-23,-72,0.627777777777778,0.284451643121425,0.875452139157259,-0.390731128489274,,TP9 TP10 ,
FC5,1,68,21,-68,0.383333333333333,0.349725383249891,0.865600698387781,0.3583679495453,,TP9 TP10 ,
FC1,1,44,59,-44,0.172222222222222,0.370487385972602,0.357775509841357,0.857167300702112,,TP9 TP10 ,
C3,1,90,45,-90,0.25,4.32978028117747e-17,0.707106781186548,0.707106781186547,,TP9 TP10 ,
T7,1,90,0,-90,0.5,6.12323399573677e-17,1,0,,TP9 TP10 ,
CP5,1,111,21,-111,0.383333333333333,-0.334565303179429,0.871572412738697,0.3583679495453,,TP9 TP10 ,
CP1,1,136,59,-136,0.172222222222222,-0.370487385972602,0.357775509841357,0.857167300702112,,TP9 TP10 ,
Pz,1,-180,45,180,0.25,-0.707106781186548,-8.65956056235493e-17,0.707106781186547,,TP9 TP10 ,
P3,1,141,30,-141,0.333333333333333,-0.673028145070219,0.545007445768716,0.5,,TP9 TP10 ,
P7,1,126,0,-126,0.5,-0.587785252292473,0.809016994374947,0,,TP9 TP10 ,
O1,1,162,0,-162,0.5,-0.951056516295154,0.309016994374948,0,,TP9 TP10 ,
Oz,1,-180,0,180,0.5,-1,-1.22464679914735e-16,0,,TP9 TP10 ,
O2,1,-162,0,162,0.5,-0.951056516295154,-0.309016994374948,0,,TP9 TP10 ,
P4,1,-141,30,141,0.333333333333333,-0.673028145070219,-0.545007445768716,0.5,,TP9 TP10 ,
P8,1,-126,0,126,0.5,-0.587785252292473,-0.809016994374947,0,,TP9 TP10 ,
CP6,1,-111,21,111,0.383333333333333,-0.334565303179429,-0.871572412738697,0.3583679495453,,TP9 TP10 ,
CP2,1,-136,59,136,0.172222222222222,-0.370487385972602,-0.357775509841357,0.857167300702112,,TP9 TP10 ,
Cz,1,0,90,-0,0,6.12323399573677e-17,0,1,,TP9 TP10 ,
C4,1,-90,45,90,0.25,4.32978028117747e-17,-0.707106781186548,0.707106781186547,,TP9 TP10 ,
T8,1,-90,0,90,0.5,6.12323399573677e-17,-1,0,,TP9 TP10 ,
FT10,1,-72,-23,72,0.627777777777778,0.284451643121425,-0.875452139157259,-0.390731128489274,,TP9 TP10 ,
FC6,1,-69,21,69,0.383333333333333,0.334565303179429,-0.871572412738697,0.3583679495453,,TP9 TP10 ,
FC2,1,-44,59,44,0.172222222222222,0.370487385972602,-0.357775509841357,0.857167300702112,,TP9 TP10 ,
F4,1,-39,30,39,0.333333333333333,0.673028145070219,-0.545007445768716,0.5,,TP9 TP10 ,
F8,1,-54,0,54,0.5,0.587785252292473,-0.809016994374947,0,,TP9 TP10 ,
Fp2,1,-18,0,18,0.5,0.951056516295154,-0.309016994374947,0,,TP9 TP10 ,
