names,coef,se,T,pval,r2,adj_r2,CI[2.5%],CI[97.5%]
Intercept,19.406,0.513,37.805,0.0,0.287,0.038,18.388,20.424
chan_0_exponent1,3.607,3.109,1.16,0.249,0.287,0.038,-2.562,9.776
chan_0_alpha0,0.779,0.548,1.421,0.158,0.287,0.038,-0.308,1.867
chan_0_alpha1,2.002,2.068,0.968,0.335,0.287,0.038,-2.102,6.105
chan_0_beta0,-0.437,0.294,-1.49,0.139,0.287,0.038,-1.02,0.145
chan_2_alpha0,-0.657,0.515,-1.275,0.205,0.287,0.038,-1.679,0.365
chan_3_alpha0,-0.507,0.475,-1.068,0.288,0.287,0.038,-1.449,0.435
chan_3_alpha1,-1.538,1.879,-0.818,0.415,0.287,0.038,-5.267,2.19
chan_3_beta0,-0.227,0.334,-0.681,0.498,0.287,0.038,-0.889,0.435
chan_4_exponent1,3.186,3.576,0.891,0.375,0.287,0.038,-3.909,10.281
chan_8_exponent1,-0.044,3.615,-0.012,0.99,0.287,0.038,-7.216,7.128
chan_11_exponent1,-2.185,4.268,-0.512,0.61,0.287,0.038,-10.652,6.282
chan_11_alpha0,-0.113,0.704,-0.161,0.873,0.287,0.038,-1.51,1.284
chan_12_exponent1,-2.314,3.734,-0.62,0.537,0.287,0.038,-9.722,5.094
chan_13_exponent0,5.09,2.579,1.973,0.051,0.287,0.038,-0.027,10.207
chan_13_alpha0,1.299,0.617,2.105,0.038,0.287,0.038,0.075,2.523
chan_13_alpha1,0.645,2.558,0.252,0.801,0.287,0.038,-4.43,5.72
chan_13_beta1,5.235,3.815,1.372,0.173,0.287,0.038,-2.335,12.804
chan_14_alpha0,0.156,0.65,0.24,0.811,0.287,0.038,-1.133,1.445
chan_14_alpha1,-5.286,2.383,-2.218,0.029,0.287,0.038,-10.014,-0.557
chan_15_exponent1,5.842,3.379,1.729,0.087,0.287,0.038,-0.862,12.546
chan_15_alpha1,3.182,2.603,1.223,0.224,0.287,0.038,-1.981,8.346
chan_16_exponent0,-3.022,2.561,-1.18,0.241,0.287,0.038,-8.102,2.059
chan_16_alpha1,-1.741,2.286,-0.761,0.448,0.287,0.038,-6.276,2.795
chan_16_alpha2,-0.583,0.404,-1.442,0.152,0.287,0.038,-1.385,0.219
chan_18_exponent1,0.319,3.173,0.101,0.92,0.287,0.038,-5.976,6.614
chan_18_alpha0,0.584,0.571,1.023,0.309,0.287,0.038,-0.549,1.716
chan_18_alpha1,-1.084,2.137,-0.507,0.613,0.287,0.038,-5.325,3.157
chan_18_beta1,-3.094,3.485,-0.888,0.377,0.287,0.038,-10.008,3.82
chan_20_exponent1,3.951,4.487,0.881,0.381,0.287,0.038,-4.952,12.854
chan_25_exponent0,-3.166,3.145,-1.007,0.316,0.287,0.038,-9.405,3.073
chan_26_exponent1,5.051,3.871,1.305,0.195,0.287,0.038,-2.63,12.731
chan_28_exponent0,-3.182,3.371,-0.944,0.347,0.287,0.038,-9.87,3.506
chan_28_alpha0,0.325,0.384,0.846,0.399,0.287,0.038,-0.437,1.086
chan_28_alpha1,0.453,1.809,0.25,0.803,0.287,0.038,-3.137,4.042
chan_29_alpha1,1.392,2.14,0.651,0.517,0.287,0.038,-2.854,5.638
