grating_freq,blocks_prac.thisRepN,blocks_prac.thisTrialN,blocks_prac.thisN,blocks_prac.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,repeat_freq.thisRepN,repeat_freq.thisTrialN,repeat_freq.thisN,repeat_freq.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_loop.thisRepN,break_loop.thisTrialN,break_loop.thisN,break_loop.thisIndex,rest_loop.thisRepN,rest_loop.thisTrialN,rest_loop.thisN,rest_loop.thisIndex,instruct_prac_text.started,instruct_prac_text.stopped,b_instruct_text_2_.started,b_instruct_text_2_.stopped,prac_done_text.started,prac_done_text.stopped,instruct_text.started,instruct_text.stopped,fixation.started,fixation.stopped,grating.started,grating.stopped,blank.started,blank.stopped,resp.keys,resp.corr,resp.started,resp.stopped,direction,duration,trigger,stim_type,corr_ans,scaling,resp.rt,rest_text.started,rest_text.stopped,text_2.started,text_2.stopped,thx_txt.started,thx_txt.stopped,gender,age,participant,language,main_hand,nBlock_prac,file_suffix,date,expName,psychopyVersion,frameRate,
0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,33.52147359994706,None,36.50018299999647,None,39.82615600002464,None,43.6498534999555,None,45.98706059996039,None,46.773379700025544,47.387559599941596,47.33737900003325,49.33856059995014,None,1,0.6128859999589622,2.6141280999872833,decreament,0.6,1,standard,None,100,,,,,,,,f,22,202,en,r,0,raw,2022-05-10_10h32.30.793,oddball,2022.1.2,59.94075455366855,
0,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,49.35577899997588,None,49.88841329992283,50.48882159998175,50.47206840000581,52.473165999981575,None,1,0.6139895999804139,2.6151197999715805,decreament,0.6,1,standard,None,100,,,,,,,,f,22,202,en,r,0,raw,2022-05-10_10h32.30.793,oddball,2022.1.2,59.94075455366855,
0,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,52.490923100034706,None,53.15624799998477,53.75667879998218,53.73997579992283,55.74087069998495,None,1,0.6069160000188276,2.6078090999508277,decreament,0.6,1,standard,None,100,,,,,,,,f,22,202,en,r,0,raw,2022-05-10_10h32.30.793,oddball,2022.1.2,59.94075455366855,
0,,,,,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,55.75723709992599,None,56.424232900026254,57.02431779995095,57.00776950002182,59.00849359994754,None,1,0.6111154998652637,2.6118385998997837,decreament,0.6,1,standard,None,100,,,,,,,,f,22,202,en,r,0,raw,2022-05-10_10h32.30.793,oddball,2022.1.2,59.94075455366855,
0,,,,,0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,59.02509749995079,None,59.775616799946874,60.37563309993129,60.35887420002837,62.36005869996734,None,1,0.6104317000135779,2.6116347999777645,decreament,0.6,1,standard,None,100,,,,,,,,f,22,202,en,r,0,raw,2022-05-10_10h32.30.793,oddball,2022.1.2,59.94075455366855,
0,,,,,0,0,0,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,62.37676749995444,None,63.176732199965045,63.77680190000683,63.760218099923804,65.76090150000528,None,1,0.6134596000192687,2.61415689997375,decreament,0.6,1,standard,None,100,,,,,,,,f,22,202,en,r,0,raw,2022-05-10_10h32.30.793,oddball,2022.1.2,59.94075455366855,
0,,,,,0,0,0,0,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,65.77758889994584,None,66.46125669998582,66.94474659999833,66.9286861999426,68.92915630002972,j,1,0.4930936999153346,2.4934958999510854,decreament,0.48,4,oddball,j,80,0.5218703000573441,,,,,,,f,22,202,en,r,0,raw,2022-05-10_10h32.30.793,oddball,2022.1.2,59.94075455366855,
0,,,,,0,0,0,0,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,68.94553609995637,None,69.57933380000759,70.17922009993345,70.16273580002598,72.16390990000218,None,1,0.6126376000465825,2.613888700027019,decreament,0.6,1,standard,None,100,,,,,,,,f,22,202,en,r,0,raw,2022-05-10_10h32.30.793,oddball,2022.1.2,59.94075455366855,
0,,,,,0,0,0,0,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,72.18128070002422,None,72.98060729994904,73.58133279997855,73.5644309000345,75.56462810002267,None,1,0.6133180999895558,2.613411600003019,decreament,0.6,1,standard,None,100,,,,,,,,f,22,202,en,r,0,raw,2022-05-10_10h32.30.793,oddball,2022.1.2,59.94075455366855,
0,,,,,0,0,0,0,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,75.58161300001666,None,76.36540060001425,76.96518920001108,76.94865759997629,78.94919569999911,None,1,0.6097029000520706,2.610398100106977,decreament,0.6,1,standard,None,100,,,,,,,,f,22,202,en,r,0,raw,2022-05-10_10h32.30.793,oddball,2022.1.2,59.94075455366855,
0,,,,,0,0,0,0,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,78.96602890000213,None,79.7498074999312,80.34983530000318,80.33339089993387,82.33385709999129,None,1,0.612178000039421,2.612605500034988,decreament,0.6,1,standard,None,100,,,,,,,,f,22,202,en,r,0,raw,2022-05-10_10h32.30.793,oddball,2022.1.2,59.94075455366855,
0,,,,,0,0,0,0,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,82.35040520003531,None,83.03399259992875,83.63461599999573,83.61799259996042,85.61845730000641,None,1,0.6141969000454992,2.6146280000684783,decreament,0.6,1,standard,None,100,,,,,,,,f,22,202,en,r,0,raw,2022-05-10_10h32.30.793,oddball,2022.1.2,59.94075455366855,
0,,,,,0,0,0,0,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,85.63499619998038,None,86.35227589996066,86.95223259995691,86.93552469997667,88.93651549995411,None,1,0.6115471000084653,2.6125975000904873,decreament,0.6,1,standard,None,100,,,,,,,,f,22,202,en,r,0,raw,2022-05-10_10h32.30.793,oddball,2022.1.2,59.94075455366855,
0,,,,,0,0,0,0,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,88.9534576999722,None,89.73675699997693,90.33700459997635,90.32050589995924,92.32090569997672,None,1,0.61198069981765,2.6123427998973057,decreament,0.6,1,standard,None,100,,,,,,,,f,22,202,en,r,0,raw,2022-05-10_10h32.30.793,oddball,2022.1.2,59.94075455366855,
0,,,,,0,0,0,0,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,92.33779140003026,None,93.03808389999904,93.63817079993896,93.62183700001333,95.62232039996888,j,0,0.6122970998985693,2.6127919999416918,decreament,0.6,1,standard,None,100,0.5005273000570014,,,,,,,f,22,202,en,r,0,raw,2022-05-10_10h32.30.793,oddball,2022.1.2,59.94075455366855,
0,,,,,0,0,0,0,0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,95.63901899999473,None,96.20617889997084,96.80629350000527,96.78937369992491,98.79044569993857,j,0,0.6113309998763725,2.6124374999199063,decreament,0.6,1,standard,None,100,0.48617689998354763,,,,,,,f,22,202,en,r,0,raw,2022-05-10_10h32.30.793,oddball,2022.1.2,59.94075455366855,
0,,,,,0,0,0,0,0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,98.80685589998029,None,99.42421610001475,99.79082410002593,99.77430159994401,101.77465239993762,j,1,0.37430589995346963,2.3746101999422535,decreament,0.36,3,oddball,j,60,0.7568999000359327,,,,,,,f,22,202,en,r,0,raw,2022-05-10_10h32.30.793,oddball,2022.1.2,59.94075455366855,
0,,,,,0,0,0,0,0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,101.79143260000274,None,102.54182039992884,103.1419427000219,103.12544259999413,105.1258300000336,None,1,0.610028300085105,2.610363300074823,decreament,0.6,1,standard,None,100,,,,,,,,f,22,202,en,r,0,raw,2022-05-10_10h32.30.793,oddball,2022.1.2,59.94075455366855,
0,,,,,0,0,0,0,0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,105.14266829995904,None,105.8097650000127,106.40959079994354,106.39310759992804,108.39375029993244,None,1,0.6130332999164239,2.613640599884093,decreament,0.6,1,standard,None,100,,,,,,,,f,22,202,en,r,0,raw,2022-05-10_10h32.30.793,oddball,2022.1.2,59.94075455366855,
0,,,,,0,0,0,0,0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,,108.4103230999317,None,109.09440619999077,109.69433929992374,109.67768099997193,111.67825989995617,None,1,0.6125008999370039,2.6130720999790356,decreament,0.6,1,standard,None,100,,,,,,,,f,22,202,en,r,0,raw,2022-05-10_10h32.30.793,oddball,2022.1.2,59.94075455366855,
0,,,,,0,0,0,0,0,0,0,0,20,0,20,0,,,,,,,,,,,,,,,,,111.69496929994784,None,112.36228130001109,112.96243089996278,112.94558079994749,114.9463531000074,None,1,0.6116678998805583,2.6124370999168605,decreament,0.6,1,standard,None,100,,,,,,,,f,22,202,en,r,0,raw,2022-05-10_10h32.30.793,oddball,2022.1.2,59.94075455366855,
0,,,,,0,0,0,0,0,0,0,0,21,0,21,0,,,,,,,,,,,,,,,,,114.96310940000694,None,115.59652889997233,116.19686479994562,116.18038419994991,118.18109239998739,None,1,0.6136017999378964,2.614374199998565,decreament,0.6,1,standard,None,100,,,,,,,,f,22,202,en,r,0,raw,2022-05-10_10h32.30.793,oddball,2022.1.2,59.94075455366855,
0,,,,,0,0,0,0,0,0,0,0,22,0,22,0,,,,,,,,,,,,,,,,,118.1976682000095,None,118.79773410002235,119.3982877000235,119.3818489999976,121.38243739993777,None,1,0.6114674999844283,2.612045600079,decreament,0.6,1,standard,None,100,,,,,,,,f,22,202,en,r,0,raw,2022-05-10_10h32.30.793,oddball,2022.1.2,59.94075455366855,
0,,,,,0,0,0,0,0,0,0,0,23,0,23,0,,,,,,,,,,,,,,,,,121.39884819998406,None,122.18265209998935,122.78265469998587,122.76585179998074,124.76666999992449,j,0,0.6123393999878317,2.613169900025241,decreament,0.6,1,standard,None,100,0.9176138999173418,,,,,,,f,22,202,en,r,0,raw,2022-05-10_10h32.30.793,oddball,2022.1.2,59.94075455366855,
0,,,,,0,0,0,0,0,0,0,0,24,0,24,0,,,,,,,,,,,,,,,,,124.78326019993983,None,125.43380939995404,125.683817800018,125.6504195999587,127.65139559993986,j,1,0.24249699991196394,2.243492499925196,decreament,0.24,2,oddball,j,40,0.5039019000250846,,,,,,,f,22,202,en,r,0,raw,2022-05-10_10h32.30.793,oddball,2022.1.2,59.94075455366855,
0,,,,,0,0,0,0,0,0,0,0,25,0,25,0,,,,,,,,,,,,,,,,,127.66787200002,None,128.2346727999393,128.83536020002794,128.81850069994107,130.81935929995961,None,1,0.6109988999087363,2.611889399937354,decreament,0.6,1,standard,None,100,,,,,,,,f,22,202,en,r,0,raw,2022-05-10_10h32.30.793,oddball,2022.1.2,59.94075455366855,
0,,,,,0,0,0,0,0,0,0,0,26,0,26,0,,,,,,,,,,,,,,,,,130.83591000002343,None,131.66933960001916,132.26966769993305,132.25314019992948,134.25379999994766,None,1,0.6111252999398857,2.611769999959506,decreament,0.6,1,standard,None,100,,,,,,,,f,22,202,en,r,0,raw,2022-05-10_10h32.30.793,oddball,2022.1.2,59.94075455366855,
0,,,,,0,0,0,0,0,0,0,0,27,0,27,0,,,,,,,,,,,,,,,,,134.2704095999943,None,134.97070059995167,135.57063480000943,135.55409560003318,137.5551938000135,None,1,0.6111871999455616,2.6123554999940097,decreament,0.6,1,standard,None,100,,,,,,,,f,22,202,en,r,0,raw,2022-05-10_10h32.30.793,oddball,2022.1.2,59.94075455366855,
0,,,,,0,0,0,0,0,0,0,0,28,0,28,0,,,,,,,,,,,,,,,,,137.5726355999941,None,138.18826289998833,138.78913319995627,138.77228829998057,140.7731935000047,None,1,0.6145141000160947,2.6154163000173867,decreament,0.6,1,standard,None,100,,,,,,,,f,22,202,en,r,0,raw,2022-05-10_10h32.30.793,oddball,2022.1.2,59.94075455366855,
0,,,,,0,0,0,0,0,0,0,0,29,0,29,0,,,,,,,,,,,,,,,,,140.78953399998136,None,141.55653229996096,142.15694869996514,142.14030099997763,144.14094589999877,None,1,0.6114239000016823,2.6120935000944883,decreament,0.6,1,standard,None,100,,,,,,,,f,22,202,en,r,0,raw,2022-05-10_10h32.30.793,oddball,2022.1.2,59.94075455366855,
0,,,,,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,147.28690850001294,None,149.49269430001732,None,150.143001099932,150.7431152999634,150.72654119995423,152.72760240000207,None,1,0.6121439001290128,2.613251500064507,increament,0.6,5,standard,None,100,,144.15779399999883,None,,,,,f,22,202,en,r,0,raw,2022-05-10_10h32.30.793,oddball,2022.1.2,59.94075455366855,
