grating_freq,blocks_prac.thisRepN,blocks_prac.thisTrialN,blocks_prac.thisN,blocks_prac.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,repeat_freq.thisRepN,repeat_freq.thisTrialN,repeat_freq.thisN,repeat_freq.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_loop.thisRepN,break_loop.thisTrialN,break_loop.thisN,break_loop.thisIndex,rest_loop.thisRepN,rest_loop.thisTrialN,rest_loop.thisN,rest_loop.thisIndex,instruct_prac_text.started,instruct_prac_text.stopped,b_instruct_text_2_.started,b_instruct_text_2_.stopped,prac_done_text.started,prac_done_text.stopped,instruct_text.started,instruct_text.stopped,fixation.started,fixation.stopped,grating.started,grating.stopped,blank.started,blank.stopped,resp.keys,resp.corr,resp.started,resp.stopped,direction,duration,trigger,stim_type,corr_ans,scaling,rest_text.started,rest_text.stopped,resp.rt,text_2.started,text_2.stopped,thx_txt.started,thx_txt.stopped,gender,age,participant,language,main_hand,nBlock_prac,file_suffix,date,expName,psychopyVersion,frameRate,
5,,,,,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,21.77294969977811,None,31.40618609986268,None,41.768263099947944,None,57.9096777997911,None,62.35051589994691,None,63.05100719979964,63.65108869993128,63.61807719990611,65.6186577999033,None,1,0.6146329899784178,2.615211989963427,increament,0.6,15,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,65.63535399991088,None,66.18540189997293,66.78587339981459,66.76900939992629,68.76989549980499,None,1,0.6080156897660345,2.6089372897986323,increament,0.6,15,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,68.78643849981017,None,69.41986039979383,70.02031919988804,70.00352399982512,72.00439639994875,None,1,0.6107562901452184,2.6115419901907444,increament,0.6,15,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,72.0209818999283,None,72.6044363998808,73.2042327998206,73.18763899989426,75.1887203999795,None,1,0.6102052896749228,2.6113270898349583,increament,0.6,15,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,75.20528569980524,None,75.78926829993725,76.38949869992211,76.37286679982208,78.37351099983789,None,1,0.6120912900660187,2.612694190116599,increament,0.6,15,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,78.38982599996962,None,78.97351059992798,79.57378539978527,79.55719019984826,81.55796819995157,None,1,0.6128389900550246,2.613632190041244,increament,0.6,15,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,81.57531369989738,None,82.09127509989776,82.69148179981858,82.6749242998194,84.67599529982544,None,1,0.6118564899079502,2.6129843899980187,increament,0.6,15,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,84.69337929994799,None,85.32623279979452,85.92633799999021,85.90980509994552,87.91029289993457,None,1,0.6115969899110496,2.612068889895454,increament,0.6,15,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,87.92691629985347,None,88.54394789994694,89.14405529992655,89.1275768999476,91.12838969985023,None,1,0.6119129902217537,2.6128334901295602,increament,0.6,15,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,91.14494439982809,None,91.86155489995144,92.46183689986356,92.44526579999365,94.4460725998506,None,1,0.6140271900221705,2.614858590066433,increament,0.6,15,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
