direction,duration,trigger,stim_type,grating_freq,corr_ans,resp.rt,resp.keys,resp.corr,t0,a,lambda
increment,0.6,45.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
increment,0.6,45.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
increment,0.6,45.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
increment,0.6,45.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
increment,0.6,45.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
increment,0.96,48.0,oddball,20.0,j,None,None,0.0,0.012,1.11,22
increment,0.6,45.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
increment,0.6,45.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
increment,0.6,45.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
increment,0.6,45.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
increment,0.6,45.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
increment,0.6,45.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
increment,0.6,45.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
increment,0.72,46.0,oddball,20.0,j,1.2225386000354774,j,1.0,0.012,1.11,19
increment,0.6,45.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
increment,0.6,45.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
increment,0.6,45.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
increment,0.6,45.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
increment,0.6,45.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
increment,0.6,45.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
increment,0.6,45.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
increment,0.6,45.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
increment,0.6,45.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
increment,0.6,45.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
increment,0.6,45.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
increment,0.6,45.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
increment,0.6,45.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
increment,0.84,47.0,oddball,20.0,j,0.713396199978888,j,1.0,0.012,1.11,21
increment,0.6,45.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
increment,0.6,45.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
decrement,0.6,41.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
decrement,0.6,41.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
decrement,0.6,41.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
decrement,0.6,41.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
decrement,0.6,41.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
decrement,0.6,41.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
decrement,0.24,42.0,oddball,20.0,j,0.4373004999943077,j,1.0,0.012,1.11,11
decrement,0.6,41.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
decrement,0.6,41.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
decrement,0.6,41.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
decrement,0.6,41.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
decrement,0.6,41.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
decrement,0.6,41.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
decrement,0.48,44.0,oddball,20.0,j,None,None,0.0,0.012,1.11,16
decrement,0.6,41.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
decrement,0.6,41.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
decrement,0.6,41.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
decrement,0.6,41.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
decrement,0.6,41.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
decrement,0.6,41.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
decrement,0.6,41.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
decrement,0.6,41.0,standard,20.0,None,0.7974856999935582,j,0.0,0.012,1.11,18
decrement,0.6,41.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
decrement,0.6,41.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
decrement,0.6,41.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
decrement,0.6,41.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
decrement,0.36,43.0,oddball,20.0,j,0.5614327999646775,j,1.0,0.012,1.11,14
decrement,0.6,41.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
decrement,0.6,41.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
decrement,0.6,41.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
increment,0.6,45.0,standard,20.0,None,None,None,1.0,0.012,1.11,18
