participant,scaling,d,grating_freq,direction
201,40,3.9378432123607094,0,decrement
201,60,3.9378432123607094,0,decrement
201,80,2.285980442452425,0,decrement
201,120,1.3728064658166503,0,increment
201,140,4.679877466511699,0,increment
201,160,4.679877466511699,0,increment
202,40,3.6369475770973128,0,decrement
202,60,3.6369475770973128,0,decrement
202,80,1.4074234980484681,0,decrement
202,120,2.543083838112931,0,increment
202,140,4.194946608021215,0,increment
202,160,2.543083838112931,0,increment
203,40,4.280882309096595,0,decrement
203,60,4.280882309096595,0,decrement
203,80,1.5514726175421059,0,decrement
203,120,1.2019915014590956,0,increment
203,140,4.509062502154144,0,increment
203,160,4.509062502154144,0,increment
204,40,3.993107717348061,0,decrement
204,60,1.7635836382992167,0,decrement
204,80,0.6860367166530127,0,decrement
204,120,-0.8388510847197423,0,increment
204,140,1.890558606834744,0,increment
204,160,1.890558606834744,0,increment
205,40,2.341244947439777,0,decrement
205,60,1.2636980257935728,0,decrement
205,80,-0.9658260532552696,0,decrement
205,120,-0.27905630409163207,0,increment
205,140,1.3728064658166503,0,increment
205,160,2.450353387462854,0,increment
206,40,4.679877466511699,0,decrement
206,60,2.450353387462854,0,decrement
206,80,1.3728064658166503,0,decrement
206,120,0.0,0,increment
206,140,3.3070710006950463,0,increment
206,160,4.9589337706033305,0,increment
207,40,4.9589337706033305,0,decrement
207,60,2.2295240790488426,0,decrement
207,80,0.0,0,decrement
207,120,1.2019915014590956,0,increment
207,140,1.7796528105996556,0,increment
207,160,2.8571997322458595,0,increment
208,40,4.120082685883588,0,decrement
208,60,4.120082685883588,0,decrement
208,80,-0.8388510847197423,0,decrement
208,120,1.9504677749572104,0,increment
208,140,1.9504677749572104,0,increment
208,160,2.450353387462854,0,increment
209,40,2.341244947439777,0,decrement
209,60,2.341244947439777,0,decrement
209,80,-0.9658260532552696,0,decrement
209,120,2.142346516316986,0,increment
209,140,1.564685207176426,0,increment
209,160,2.142346516316986,0,increment
210,40,4.120082685883588,0,decrement
210,60,2.468219915975304,0,decrement
210,80,1.890558606834744,0,decrement
210,120,1.0755721899737645,0,increment
210,140,2.7307804207605284,0,increment
210,160,1.6532334991143245,0,increment
211,40,2.0513582300477498,0,decrement
211,60,2.0513582300477498,0,decrement
211,80,2.0513582300477498,0,decrement
211,120,0.81301168518854,0,increment
211,140,0.81301168518854,0,increment
211,160,1.3906729943291,0,increment
212,40,4.280882309096595,0,decrement
212,60,2.62901953918831,0,decrement
212,80,-0.6780514615067366,0,decrement
212,120,-0.4498712684491868,0,increment
212,140,2.2795384231052993,0,increment
212,160,4.509062502154144,0,increment
213,40,4.382643190668813,0,decrement
213,60,4.382643190668813,0,decrement
213,80,1.0755721899737645,0,decrement
213,120,1.0755721899737645,0,increment
213,140,2.7307804207605284,0,increment
213,160,4.382643190668813,0,increment
214,40,4.9589337706033305,0,decrement
214,60,4.9589337706033305,0,decrement
214,80,0.0,0,decrement
214,120,1.8239011677575518,0,increment
214,140,2.401562476898112,0,increment
214,160,2.401562476898112,0,increment
215,40,4.9589337706033305,0,decrement
215,60,4.9589337706033305,0,decrement
215,80,0.0,0,decrement
215,120,2.2295240790488426,0,increment
215,140,1.6518627699082824,0,increment
215,160,4.9589337706033305,0,increment
216,40,4.9589337706033305,0,decrement
216,60,3.3070710006950463,0,decrement
216,80,0.0,0,decrement
216,120,1.6518627699082824,0,increment
216,140,2.2295240790488426,0,increment
216,160,2.2295240790488426,0,increment
217,40,4.679877466511699,0,decrement
217,60,4.679877466511699,0,decrement
217,80,1.3728064658166503,0,decrement
217,120,-0.27905630409163207,0,increment
217,140,3.0280146966034143,0,increment
217,160,3.0280146966034143,0,increment
218,40,4.280882309096595,0,decrement
218,60,1.5514726175421059,0,decrement
218,80,-0.6780514615067366,0,decrement
218,120,-1.0210905582426217,0,increment
218,140,1.2084335208062207,0,increment
218,160,1.2084335208062207,0,increment
219,40,4.280882309096595,0,decrement
219,60,2.0513582300477498,0,decrement
219,80,-0.6780514615067366,0,decrement
219,120,-0.27905630409163207,0,increment
219,140,-0.27905630409163207,0,increment
219,160,1.3728064658166503,0,increment
220,40,2.285980442452425,0,decrement
220,60,1.7083191333118646,0,decrement
220,80,1.2084335208062207,0,decrement
220,120,0.9441129964653832,0,increment
220,140,1.443998608971027,0,increment
220,160,1.443998608971027,0,increment
221,40,4.9589337706033305,0,decrement
221,60,3.3070710006950463,0,decrement
221,80,1.6518627699082824,0,decrement
221,120,0.0,0,increment
221,140,1.6518627699082824,0,increment
221,160,4.9589337706033305,0,increment
222,40,4.679877466511699,0,decrement
222,60,3.0280146966034143,0,decrement
222,80,1.3728064658166503,0,decrement
222,120,1.157295537633853,0,increment
222,140,1.157295537633853,0,increment
222,160,1.157295537633853,0,increment
223,40,4.679877466511699,0,decrement
223,60,3.0280146966034143,0,decrement
223,80,-0.27905630409163207,0,decrement
223,120,1.3728064658166503,0,increment
223,140,1.3728064658166503,0,increment
223,160,4.679877466511699,0,increment
224,40,4.679877466511699,0,decrement
224,60,2.450353387462854,0,decrement
224,80,-0.27905630409163207,0,decrement
224,120,0.0,0,increment
224,140,2.2295240790488426,0,increment
224,160,2.2295240790488426,0,increment
225,40,4.280882309096595,0,decrement
225,60,4.280882309096595,0,decrement
225,80,1.5514726175421059,0,decrement
225,120,1.3728064658166503,0,increment
225,140,4.679877466511699,0,increment
225,160,3.0280146966034143,0,increment
226,40,4.9589337706033305,0,decrement
226,60,2.729409691554486,0,decrement
226,80,0.0,0,decrement
226,120,-0.5762905799345179,0,increment
226,140,1.6532334991143245,0,increment
226,160,1.6532334991143245,0,increment
227,40,3.6735226880198715,0,decrement
227,60,2.0216599181115873,0,decrement
227,80,1.443998608971027,0,decrement
227,120,0.5319324993108933,0,increment
227,140,3.839003500005942,0,increment
227,160,3.839003500005942,0,increment
228,40,4.9589337706033305,0,decrement
228,60,4.9589337706033305,0,decrement
228,80,1.6518627699082824,0,decrement
228,120,2.2295240790488426,0,increment
228,140,4.9589337706033305,0,increment
228,160,4.9589337706033305,0,increment
229,40,4.0534252468063965,0,decrement
229,60,4.0534252468063965,0,decrement
229,80,2.401562476898112,0,decrement
229,120,1.2636980257935728,0,increment
229,140,0.6860367166530127,0,increment
229,160,2.341244947439777,0,increment
230,40,4.9589337706033305,0,decrement
230,60,3.3070710006950463,0,decrement
230,80,0.0,0,decrement
230,120,-0.27905630409163207,0,increment
230,140,4.679877466511699,0,increment
230,160,4.679877466511699,0,increment
232,40,3.0280146966034143,0,decrement
232,60,4.679877466511699,0,decrement
232,80,1.9504677749572104,0,decrement
232,120,1.6518627699082824,0,increment
232,140,3.3070710006950463,0,increment
232,160,4.9589337706033305,0,increment
233,40,4.509062502154144,0,decrement
233,60,4.509062502154144,0,decrement
233,80,1.7796528105996556,0,decrement
233,120,3.3070710006950463,0,increment
233,140,3.3070710006950463,0,increment
233,160,4.9589337706033305,0,increment
234,40,1.6571811501394969,0,decrement
234,60,1.157295537633853,0,decrement
234,80,1.157295537633853,0,decrement
234,120,-0.8388510847197423,0,increment
234,140,0.81301168518854,0,increment
234,160,0.81301168518854,0,increment
235,40,1.792104089001145,0,decrement
235,60,3.4439668589094294,0,decrement
235,80,1.792104089001145,0,decrement
235,120,0.08009901858390633,0,increment
235,140,1.7353072493706705,0,increment
235,160,1.7353072493706705,0,increment
236,40,4.679877466511699,0,decrement
236,60,4.679877466511699,0,decrement
236,80,1.3728064658166503,0,decrement
236,120,1.6518627699082824,0,increment
236,140,2.729409691554486,0,increment
236,160,4.9589337706033305,0,increment
237,40,4.382643190668813,0,decrement
237,60,4.382643190668813,0,decrement
237,80,1.0755721899737645,0,decrement
237,120,1.7796528105996556,0,increment
237,140,1.7796528105996556,0,increment
237,160,4.509062502154144,0,increment
238,40,4.194946608021215,0,decrement
238,60,2.543083838112931,0,decrement
238,80,0.8878756073261665,0,decrement
238,120,1.6532334991143245,0,increment
238,140,2.7307804207605284,0,increment
238,160,1.6532334991143245,0,increment
239,40,3.0280146966034143,0,decrement
239,60,3.0280146966034143,0,decrement
239,80,-0.27905630409163207,0,decrement
239,120,0.0,0,increment
239,140,1.6518627699082824,0,increment
239,160,2.2295240790488426,0,increment
240,40,4.382643190668813,0,decrement
240,60,2.153119111619968,0,decrement
240,80,-0.5762905799345179,0,decrement
240,120,1.7796528105996556,0,increment
240,140,2.2795384231052993,0,increment
240,160,4.509062502154144,0,increment
241,40,4.679877466511699,0,decrement
241,60,3.0280146966034143,0,decrement
241,80,1.9504677749572104,0,decrement
241,120,-0.27905630409163207,0,increment
241,140,3.0280146966034143,0,increment
241,160,3.0280146966034143,0,increment
201,40,3.839003500005942,5,decrement
201,60,3.839003500005942,5,decrement
201,80,2.1871407300976573,5,decrement
201,120,0.0,5,increment
201,140,2.729409691554486,5,increment
201,160,4.9589337706033305,5,increment
202,40,3.839003500005942,5,decrement
202,60,3.839003500005942,5,decrement
202,80,3.839003500005942,5,decrement
202,120,0.7463542461113478,5,increment
202,140,4.0534252468063965,5,increment
202,160,4.0534252468063965,5,increment
203,40,3.535538117092469,5,decrement
203,60,1.8836753471841847,5,decrement
203,80,0.8061284255379806,5,decrement
203,120,-1.3219861935060182,5,increment
203,140,0.3298765764022641,5,increment
203,160,-1.3219861935060182,5,increment
204,40,4.120082685883588,5,decrement
204,60,4.120082685883588,5,decrement
204,80,1.890558606834744,5,decrement
204,120,0.7463542461113478,5,increment
204,140,0.7463542461113478,5,increment
204,160,4.0534252468063965,5,increment
205,40,2.8571997322458595,5,decrement
205,60,2.2795384231052993,5,decrement
205,80,1.7796528105996556,5,decrement
205,120,1.6518627699082824,5,increment
205,140,2.2295240790488426,5,increment
205,160,1.6518627699082824,5,increment
206,40,4.9589337706033305,5,decrement
