participant,direction,grating,A0,a,start,A,B,n_step,best_model,lambda,d-prime
201,decrement,0,1,1.06,0.012,0,12,,nonadapt,23.366666666666667,3.3872222890579473
201,decrement,5,1,1.1,0.011,1,12,,nonadapt,19.5,3.2883825767031802
201,decrement,10,1,1.08,0.01,1,12,,nonadapt,22.433333333333334,4.120082685883588
201,decrement,20,1,1.09,0.011,1,12,,nonadapt,20.466666666666665,3.958441578851383
201,increment,0,3,1.06,0.012,2,12,,nonadapt,24.4,3.5775204662800157
201,increment,5,3,1.1,0.011,3,12,,nonadapt,20.266666666666666,2.5627811540526055
201,increment,10,3,1.08,0.01,3,12,,nonadapt,23.366666666666667,3.4985096167824064
201,increment,20,3,1.09,0.011,3,12,,nonadapt,21.266666666666666,4.049130540085168
202,decrement,0,1,1.15,0.01,1,0,,nonadapt,15.7,2.893772884081031
202,decrement,5,1,1.1,0.014,1,0,,nonadapt,16.6,3.839003500005942
202,decrement,10,1,1.1,0.011,0,0,,nonadapt,19.5,3.5028043235036352
202,decrement,20,1,1.1,0.011,0,0,,nonadapt,19.5,3.1435305361720594
202,increment,0,2,1.15,0.01,0,0,,nonadapt,16.3,3.0937047614156925
202,increment,5,2,1.1,0.014,2,0,,nonadapt,17.333333333333332,2.951068246574714
202,increment,10,2,1.1,0.011,2,0,,nonadapt,20.266666666666666,2.4364657694747898
202,increment,20,2,1.1,0.011,2,0,,nonadapt,20.266666666666666,1.635404653168736
203,decrement,0,1,1.11,0.011,1,0,29.0,novel,18.566666666666663,3.371079078578432
203,decrement,5,1,1.14,0.007,8,0,29.0,novel,19.566666666666663,2.0751139632715447
203,decrement,10,1,1.07,0.013,1,0,29.0,novel,20.466666666666665,1.987737547841266
203,decrement,20,1,1.1,0.011,1,0,29.0,novel,19.5,2.8354862121290263
203,increment,0,1,1.11,0.011,1,0,29.0,novel,19.23333333333333,3.4067055019224615
203,increment,5,1,1.14,0.007,1,0,29.0,novel,20.186666666666667,-0.7713652702032574
203,increment,10,1,1.07,0.013,1,0,29.0,novel,21.4,2.058791057343568
203,increment,20,1,1.1,0.011,1,0,29.0,novel,20.266666666666666,1.9074916277609304
204,decrement,0,2,1.13,0.006,2,11,20.0,novel,21.566666666666663,2.147576024100097
204,decrement,5,2,1.09,0.012,2,11,20.0,novel,19.5,3.376907992867307
204,decrement,10,2,1.1,0.011,2,11,20.0,novel,19.5,2.8354862121290263
204,decrement,20,2,1.1,0.011,2,11,20.0,novel,19.5,2.5670758607738335
204,increment,0,3,1.13,0.006,2,11,20.0,novel,22.2,0.9807553763165818
204,increment,5,3,1.09,0.012,3,11,20.0,novel,20.3,1.8487112463430309
204,increment,10,3,1.1,0.011,2,11,20.0,novel,20.266666666666666,0.6548819766582638
204,increment,20,3,1.1,0.011,3,11,20.0,novel,20.266666666666666,2.1735012563117357
205,decrement,0,5,1.13,0.011,5,0,15.0,novel,16.593333333333334,0.8797056399926934
205,decrement,5,5,1.1,0.011,4,0,15.0,novel,19.46,2.305463655316938
205,decrement,10,5,1.1,0.011,6,0,15.0,novel,19.46,2.467104762349144
205,decrement,20,5,1.1,0.011,5,0,15.0,novel,19.46,2.6635308089061795
205,increment,0,4,1.13,0.011,0,0,15.0,novel,17.053333333333335,1.1813678497292908
205,increment,5,4,1.1,0.011,4,0,15.0,novel,19.92,1.8444165396218022
205,increment,10,4,1.1,0.011,2,0,15.0,novel,19.91333333333333,1.2937956163190416
205,increment,20,4,1.1,0.011,4,0,15.0,novel,20.0,1.373921619442811
206,decrement,0,3,1.07,0.015,1,0,,nonadapt,19.433333333333334,2.8343457732637343
206,decrement,5,3,1.13,0.01,1,0,,nonadapt,17.6,4.215759077587049
206,decrement,10,3,1.1,0.011,2,0,,nonadapt,19.5,2.7553349237661258
206,decrement,20,3,1.09,0.013,3,0,,nonadapt,18.53333333333333,3.113402077355366
206,increment,0,5,1.07,0.015,4,0,,nonadapt,20.366666666666667,2.7553349237661258
206,increment,5,5,1.13,0.01,5,0,,nonadapt,18.2,2.562781154052605
206,increment,10,5,1.1,0.011,3,0,,nonadapt,20.266666666666666,1.6529779235344428
206,increment,20,5,1.09,0.013,5,0,,nonadapt,19.33333333333333,2.0121602307498443
207,decrement,0,3,1.09,0.011,3,0,25.0,novel,20.466666666666665,2.396152616550724
207,decrement,5,3,1.1,0.011,3,0,25.0,novel,19.5,3.1946685193444275
207,decrement,10,3,1.1,0.011,3,0,25.0,novel,19.5,2.929200269487779
207,decrement,20,3,1.1,0.011,3,0,25.0,novel,19.5,2.476278619674494
207,increment,0,5,1.09,0.011,5,0,25.0,novel,21.266666666666666,1.946281348101537
207,increment,5,5,1.1,0.011,5,0,25.0,novel,20.226666666666667,0.4599319620689754
207,increment,10,5,1.1,0.011,5,0,25.0,novel,20.266666666666666,3.04863834833322
207,increment,20,5,1.1,0.011,4,0,25.0,novel,20.266666666666666,0.8141268388147006
208,decrement,0,1,1.11,0.011,1,0,,nonadapt,18.566666666666663,2.4671047623491447
208,decrement,5,1,1.1,0.011,0,0,,nonadapt,19.5,2.349414914773251
208,decrement,10,1,1.15,0.011,1,0,,nonadapt,15.633333333333333,1.9151218911441106
208,decrement,20,1,1.1,0.011,0,0,,nonadapt,19.5,3.0833044868298987
208,increment,0,3,1.11,0.011,3,0,,nonadapt,19.23333333333333,2.1170963124590916
208,increment,5,3,1.1,0.011,3,0,,nonadapt,20.266666666666666,2.5627811540526055
208,increment,10,3,1.15,0.011,3,0,,nonadapt,16.2,3.2194533126907743
208,increment,20,3,1.1,0.011,3,0,,nonadapt,20.266666666666666,3.0268995429772545
209,decrement,0,4,1.11,0.011,0,0,,nonadapt,18.566666666666663,1.238887947208095
209,decrement,5,4,1.1,0.01,8,0,,nonadapt,19.566666666666663,2.5627811540526055
209,decrement,10,4,1.1,0.011,6,0,,nonadapt,19.5,2.668832389388013
209,decrement,20,4,1.11,0.011,5,0,,nonadapt,18.566666666666663,1.753727578388018
209,increment,0,4,1.11,0.011,4,0,,nonadapt,19.23333333333333,1.9497927466034657
209,increment,5,4,1.1,0.01,4,0,,nonadapt,20.33333333333333,1.3341087692431077
209,increment,10,4,1.1,0.011,3,0,,nonadapt,20.266666666666666,1.4606797294008045
209,increment,20,4,1.11,0.011,1,0,,nonadapt,19.23333333333333,2.309650082172612
210,decrement,0,1,1.1,0.01,1,6,19.0,novel,19.566666666666663,2.8262870695645455
210,decrement,5,1,1.09,0.011,1,6,19.0,novel,20.466666666666665,1.6585275845938006
210,decrement,10,1,1.1,0.011,1,6,19.0,novel,19.5,2.1735012563117357
210,decrement,20,1,1.1,0.011,1,6,19.0,novel,19.5,3.5355381170924693
210,increment,0,1,1.1,0.01,1,6,19.0,novel,20.32,1.8198620366162057
210,increment,5,1,1.09,0.011,1,6,19.0,novel,21.266666666666666,1.635404653168736
210,increment,10,1,1.1,0.011,2,6,19.0,novel,20.186666666666667,0.6318873652918213
210,increment,20,1,1.1,0.011,1,6,19.0,novel,20.266666666666666,1.8510813543073208
211,decrement,0,7,1.2,0.011,4,13,,nonadapt,13.666666666666666,2.0513582300477498
211,decrement,5,7,1.25,0.011,4,13,,nonadapt,11.766666666666667,2.541968684486771
211,decrement,10,7,1.1,0.011,1,13,,nonadapt,19.5,0.9899545188810618
211,decrement,20,7,1.19,0.011,1,13,,nonadapt,13.7,2.203598846837204
211,increment,0,6,1.2,0.011,1,13,,nonadapt,14.1,1.00556545490206
211,increment,5,6,1.25,0.011,3,13,,nonadapt,12.133333333333333,1.5255473853304673
211,increment,10,6,1.1,0.011,6,13,,nonadapt,20.266666666666666,1.2980903230402692
211,increment,20,6,1.19,0.011,4,13,,nonadapt,14.166666666666666,0.2623907618857792
212,decrement,0,2,1.12,0.008,2,9,,nonadapt,19.6,2.0772834622593894
212,decrement,5,2,1.1,0.011,2,9,,nonadapt,19.5,3.5775204662800157
212,decrement,10,2,1.08,0.012,1,9,,nonadapt,20.466666666666665,3.026899542977255
212,decrement,20,2,1.1,0.011,2,9,,nonadapt,19.5,3.3059558470688866
212,increment,0,4,1.12,0.008,4,9,,nonadapt,20.3,2.1129098856034187
212,increment,5,4,1.1,0.011,3,9,,nonadapt,20.266666666666666,1.203106655085256
212,increment,10,4,1.08,0.012,4,9,,nonadapt,21.366666666666667,1.2980903230402692
212,increment,20,4,1.1,0.011,4,9,,nonadapt,20.266666666666666,2.1579762986858904
213,decrement,0,1,1.08,0.011,1,0,,nonadapt,21.466666666666665,3.28028619043713
213,decrement,5,1,1.1,0.012,1,0,,nonadapt,18.566666666666663,3.2851433775030525
213,decrement,10,1,1.1,0.011,1,0,,nonadapt,19.5,3.026899542977255
213,decrement,20,1,1.09,0.011,1,0,,nonadapt,20.466666666666665,2.476278619674494
213,increment,0,4,1.08,0.011,4,0,,nonadapt,22.33333333333333,2.7296652671343686
213,increment,5,4,1.1,0.012,4,0,,nonadapt,19.266666666666666,0.8439243478698547
213,increment,10,4,1.1,0.011,2,0,,nonadapt,20.266666666666666,1.627308266902686
213,increment,20,4,1.09,0.011,4,0,,nonadapt,21.266666666666666,2.43535061584863
214,decrement,0,3,1.09,0.011,3,0,,nonadapt,20.466666666666665,3.305955847068887
214,decrement,5,3,1.1,0.011,8,0,,nonadapt,19.5,2.729665267134369
