channel,feature,count,feat,n_batch,likelihood
Fp1,α_f,97.0,chan_0_alpha0,100,0.97
Pz,α_f,32.0,chan_11_alpha0,100,0.32
P7,α_f,70.0,chan_13_alpha0,100,0.7
O1,α_f,39.0,chan_14_alpha0,100,0.39
P8,α_f,92.0,chan_18_alpha0,100,0.92
F8,α_f,19.0,chan_28_alpha0,100,0.19
F3,α_f,13.0,chan_2_alpha0,100,0.13
F7,α_f,58.0,chan_3_alpha0,100,0.58
O2,α_f,52.0,chan_16_alpha0,100,0.52
C4,α_f,2.0,chan_22_alpha0,100,0.02
F4,α_f,1.0,chan_27_alpha0,100,0.01
Fp2,α_f,57.0,chan_29_alpha0,100,0.57
P4,α_f,47.0,chan_17_alpha0,100,0.47
FC5,α_f,12.0,chan_5_alpha0,100,0.12
FC1,α_f,1.0,chan_6_alpha0,100,0.01
C3,α_f,4.0,chan_7_alpha0,100,0.04
FC6,α_f,19.0,chan_25_alpha0,100,0.19
FT9,α_f,6.0,chan_4_alpha0,100,0.06
CP6,α_f,1.0,chan_19_alpha0,100,0.01
Fz,α_f,3.0,chan_1_alpha0,100,0.03
CP2,α_f,2.0,chan_20_alpha0,100,0.02
P3,α_f,2.0,chan_12_alpha0,100,0.02
CP1,α_f,2.0,chan_10_alpha0,100,0.02
FT10,α_f,1.0,chan_24_alpha0,100,0.01
Fp1,α_pw,67.0,chan_0_alpha1,100,0.67
P7,α_pw,58.0,chan_13_alpha1,100,0.58
O1,α_pw,99.0,chan_14_alpha1,100,0.99
P8,α_pw,100.0,chan_18_alpha1,100,1.0
F8,α_pw,33.0,chan_28_alpha1,100,0.33
F3,α_pw,7.0,chan_2_alpha1,100,0.07
F7,α_pw,25.0,chan_3_alpha1,100,0.25
O2,α_pw,94.0,chan_16_alpha1,100,0.94
F4,α_pw,1.0,chan_27_alpha1,100,0.01
Fp2,α_pw,27.0,chan_29_alpha1,100,0.27
P4,α_pw,19.0,chan_17_alpha1,100,0.19
FC5,α_pw,3.0,chan_5_alpha1,100,0.03
FC1,α_pw,6.0,chan_6_alpha1,100,0.06
FC6,α_pw,13.0,chan_25_alpha1,100,0.13
FT9,α_pw,53.0,chan_4_alpha1,100,0.53
Fz,α_pw,42.0,chan_1_alpha1,100,0.42
CP2,α_pw,14.0,chan_20_alpha1,100,0.14
P3,α_pw,18.0,chan_12_alpha1,100,0.18
CP1,α_pw,1.0,chan_10_alpha1,100,0.01
FT10,α_pw,15.0,chan_24_alpha1,100,0.15
Oz,α_pw,31.0,chan_15_alpha1,100,0.31
T8,α_pw,1.0,chan_23_alpha1,100,0.01
Cz,α_pw,4.0,chan_21_alpha1,100,0.04
FC2,α_pw,4.0,chan_26_alpha1,100,0.04
Fp1,β_f,68.0,chan_0_beta0,100,0.68
F8,β_f,9.0,chan_28_beta0,100,0.09
F3,β_f,3.0,chan_2_beta0,100,0.03
F7,β_f,45.0,chan_3_beta0,100,0.45
F4,β_f,1.0,chan_27_beta0,100,0.01
Fp2,β_f,17.0,chan_29_beta0,100,0.17
P4,β_f,9.0,chan_17_beta0,100,0.09
FC5,β_f,10.0,chan_5_beta0,100,0.1
C3,β_f,5.0,chan_7_beta0,100,0.05
FC6,β_f,2.0,chan_25_beta0,100,0.02
FT9,β_f,19.0,chan_4_beta0,100,0.19
CP6,β_f,5.0,chan_19_beta0,100,0.05
Fz,β_f,10.0,chan_1_beta0,100,0.1
FT10,β_f,10.0,chan_24_beta0,100,0.1
Cz,β_f,2.0,chan_21_beta0,100,0.02
FC2,β_f,1.0,chan_26_beta0,100,0.01
T7,β_f,2.0,chan_8_beta0,100,0.02
Fp1,AP_e,70.0,chan_0_exponent1,100,0.7
Pz,AP_e,45.0,chan_11_exponent1,100,0.45
O1,AP_e,76.0,chan_14_exponent1,100,0.76
P8,AP_e,85.0,chan_18_exponent1,100,0.85
F8,AP_e,7.0,chan_28_exponent1,100,0.07
F3,AP_e,7.0,chan_2_exponent1,100,0.07
F7,AP_e,26.0,chan_3_exponent1,100,0.26
C4,AP_e,15.0,chan_22_exponent1,100,0.15
F4,AP_e,6.0,chan_27_exponent1,100,0.06
Fp2,AP_e,18.0,chan_29_exponent1,100,0.18
P4,AP_e,16.0,chan_17_exponent1,100,0.16
FC5,AP_e,4.0,chan_5_exponent1,100,0.04
FC1,AP_e,10.0,chan_6_exponent1,100,0.1
C3,AP_e,6.0,chan_7_exponent1,100,0.06
FC6,AP_e,3.0,chan_25_exponent1,100,0.03
FT9,AP_e,25.0,chan_4_exponent1,100,0.25
Fz,AP_e,5.0,chan_1_exponent1,100,0.05
CP2,AP_e,11.0,chan_20_exponent1,100,0.11
P3,AP_e,32.0,chan_12_exponent1,100,0.32
CP1,AP_e,4.0,chan_10_exponent1,100,0.04
Oz,AP_e,22.0,chan_15_exponent1,100,0.22
T8,AP_e,2.0,chan_23_exponent1,100,0.02
Cz,AP_e,33.0,chan_21_exponent1,100,0.33
FC2,AP_e,26.0,chan_26_exponent1,100,0.26
T7,AP_e,9.0,chan_8_exponent1,100,0.09
CP5,AP_e,5.0,chan_9_exponent1,100,0.05
P7,β_pw,32.0,chan_13_beta1,100,0.32
P8,β_pw,24.0,chan_18_beta1,100,0.24
P4,β_pw,2.0,chan_17_beta1,100,0.02
C3,β_pw,2.0,chan_7_beta1,100,0.02
P3,β_pw,7.0,chan_12_beta1,100,0.07
CP5,β_pw,2.0,chan_9_beta1,100,0.02
Fp1,AP_o,75.0,chan_0_exponent0,100,0.75
Pz,AP_o,15.0,chan_11_exponent0,100,0.15
P7,AP_o,87.0,chan_13_exponent0,100,0.87
F8,AP_o,23.0,chan_28_exponent0,100,0.23
F3,AP_o,17.0,chan_2_exponent0,100,0.17
F7,AP_o,18.0,chan_3_exponent0,100,0.18
O2,AP_o,100.0,chan_16_exponent0,100,1.0
C4,AP_o,1.0,chan_22_exponent0,100,0.01
FC5,AP_o,9.0,chan_5_exponent0,100,0.09
FC1,AP_o,10.0,chan_6_exponent0,100,0.1
C3,AP_o,4.0,chan_7_exponent0,100,0.04
FC6,AP_o,18.0,chan_25_exponent0,100,0.18
CP6,AP_o,2.0,chan_19_exponent0,100,0.02
Fz,AP_o,7.0,chan_1_exponent0,100,0.07
CP2,AP_o,3.0,chan_20_exponent0,100,0.03
CP1,AP_o,7.0,chan_10_exponent0,100,0.07
Cz,AP_o,16.0,chan_21_exponent0,100,0.16
FC2,AP_o,8.0,chan_26_exponent0,100,0.08
Fp1,α_w,14.0,chan_0_alpha2,100,0.14
P8,α_w,21.0,chan_18_alpha2,100,0.21
F8,α_w,1.0,chan_28_alpha2,100,0.01
F7,α_w,1.0,chan_3_alpha2,100,0.01
O2,α_w,13.0,chan_16_alpha2,100,0.13
C4,α_w,1.0,chan_22_alpha2,100,0.01
P4,α_w,1.0,chan_17_alpha2,100,0.01
F8,β_w,1.0,chan_28_beta2,100,0.01
F3,β_w,1.0,chan_2_beta2,100,0.01
C4,β_w,1.0,chan_22_beta2,100,0.01
P4,β_w,1.0,chan_17_beta2,100,0.01
CP2,β_w,1.0,chan_20_beta2,100,0.01
