channel,feature,count,feat,n_batch,likelihood
CP1,α_f,6.0,chan_10_alpha0,100,0.06
P8,α_f,4.0,chan_18_alpha0,100,0.04
F7,α_f,1.0,chan_3_alpha0,100,0.01
Fz,α_f,7.0,chan_1_alpha0,100,0.07
F3,α_f,3.0,chan_2_alpha0,100,0.03
Cz,α_f,4.0,chan_21_alpha0,100,0.04
Pz,α_f,11.0,chan_11_alpha0,100,0.11
O1,α_f,4.0,chan_14_alpha0,100,0.04
P4,α_f,4.0,chan_17_alpha0,100,0.04
T8,α_f,1.0,chan_23_alpha0,100,0.01
C4,α_f,2.0,chan_22_alpha0,100,0.02
F4,α_f,4.0,chan_27_alpha0,100,0.04
P3,α_f,7.0,chan_12_alpha0,100,0.07
C3,α_f,8.0,chan_7_alpha0,100,0.08
Oz,α_f,1.0,chan_15_alpha0,100,0.01
FC1,α_f,6.0,chan_6_alpha0,100,0.06
CP6,α_f,3.0,chan_19_alpha0,100,0.03
FT10,α_f,2.0,chan_24_alpha0,100,0.02
Fp1,α_f,3.0,chan_0_alpha0,100,0.03
CP5,α_f,2.0,chan_9_alpha0,100,0.02
FT9,α_f,1.0,chan_4_alpha0,100,0.01
O2,α_f,2.0,chan_16_alpha0,100,0.02
F8,α_f,1.0,chan_28_alpha0,100,0.01
CP2,α_f,3.0,chan_20_alpha0,100,0.03
T7,α_f,1.0,chan_8_alpha0,100,0.01
P7,α_f,2.0,chan_13_alpha0,100,0.02
FC2,α_f,4.0,chan_26_alpha0,100,0.04
Fp2,α_f,3.0,chan_29_alpha0,100,0.03
FC5,α_f,1.0,chan_5_alpha0,100,0.01
FC6,α_f,1.0,chan_25_alpha0,100,0.01
CP1,β_w,22.0,chan_10_beta2,100,0.22
F7,β_w,17.0,chan_3_beta2,100,0.17
F3,β_w,26.0,chan_2_beta2,100,0.26
Pz,β_w,23.0,chan_11_beta2,100,0.23
P4,β_w,16.0,chan_17_beta2,100,0.16
C4,β_w,23.0,chan_22_beta2,100,0.23
F4,β_w,24.0,chan_27_beta2,100,0.24
P3,β_w,18.0,chan_12_beta2,100,0.18
FT10,β_w,20.0,chan_24_beta2,100,0.2
F8,β_w,24.0,chan_28_beta2,100,0.24
CP2,β_w,23.0,chan_20_beta2,100,0.23
T7,β_w,13.0,chan_8_beta2,100,0.13
FC5,β_w,16.0,chan_5_beta2,100,0.16
CP1,AP_o,31.0,chan_10_exponent0,100,0.31
F7,AP_o,33.0,chan_3_exponent0,100,0.33
Fz,AP_o,22.0,chan_1_exponent0,100,0.22
F3,AP_o,24.0,chan_2_exponent0,100,0.24
Cz,AP_o,25.0,chan_21_exponent0,100,0.25
Pz,AP_o,22.0,chan_11_exponent0,100,0.22
C4,AP_o,23.0,chan_22_exponent0,100,0.23
F4,AP_o,29.0,chan_27_exponent0,100,0.29
C3,AP_o,15.0,chan_7_exponent0,100,0.15
FC1,AP_o,22.0,chan_6_exponent0,100,0.22
CP6,AP_o,29.0,chan_19_exponent0,100,0.29
Fp1,AP_o,26.0,chan_0_exponent0,100,0.26
O2,AP_o,28.0,chan_16_exponent0,100,0.28
F8,AP_o,23.0,chan_28_exponent0,100,0.23
CP2,AP_o,30.0,chan_20_exponent0,100,0.3
