participant,adapt,nonadapt,novel,best
201,0.050201045953360716,0.000868055555555554,0.0035189471879286515,nonadapt
202,0.03999999999999998,0.0007270233196159094,0.0013018689986282546,nonadapt
203,0.0021682098765432108,1.0716735253772387e-05,4.286694101507515e-07,novel
204,0.002735339506172845,6.858710562414081e-06,4.2866941015064874e-07,novel
205,1.5432098765432607e-05,2.74348422496555e-05,4.286694101507515e-07,novel
206,0.0066002229080932544,5.18689986282579e-05,7.244513031549973e-05,nonadapt
207,9.645061728394993e-05,1.0716735253771872e-05,4.286694101508543e-07,novel
208,0.0030456961591220724,2.74348422496555e-05,3.5150891632372936e-05,nonadapt
209,0.0011805555555555638,0.0,4.286694101507515e-07,nonadapt
210,0.0033371913580246965,1.543209876543137e-05,1.07167352537729e-05,novel
211,8.659122085047987e-05,0.0,3.47222222222229e-05,nonadapt
212,0.009870541838134435,3.858024691357998e-06,3.472222222222105e-05,nonadapt
213,0.0017545438957475936,3.858024691357998e-06,0.0005246913580246926,nonadapt
214,0.01750385802469135,0.0,4.286694101508543e-07,nonadapt
215,0.004569615912208511,2.100480109739474e-05,4.2866941015088516e-05,nonadapt
216,0.002331961591220855,0.0001547496570644721,6.858710562414491e-06,novel
217,0.004501457475994518,0.0001388888888888879,0.00028163580246913625,nonadapt
218,0.00011874142661179898,0.00018947187928669017,4.286694101510599e-07,novel
219,4.286694101508543e-07,1.7146776406034172e-06,4.286694101507515e-07,novel
220,1.543209876543199e-05,9.645061728395118e-05,0.0,novel
221,0.010495541838134415,9.645061728394993e-05,3.472222222222105e-05,novel
222,0.024201388888888883,0.0,4.286694101508543e-07,nonadapt
223,0.007185356652949256,1.543209876543137e-05,0.0001547496570644721,nonadapt
224,0.0005508401920438949,0.0002006172839506168,2.10048010973933e-05,novel
225,0.0018368484224965712,0.0,3.47222222222229e-05,nonadapt
226,0.008273319615912218,0.0015950788751714733,3.643689986282581e-05,novel
227,0.017617455418381375,1.0716735253772387e-05,0.00013888888888888976,nonadapt
228,0.04545953360768175,0.001149691358024678,0.0008594821673525307,novel
229,0.005902777777777779,4.286694101508543e-07,1.7146776406032116e-06,nonadapt
230,0.010639574759945123,4.286694101509571e-07,7.244513031549973e-05,nonadapt
232,0.020480109739368993,0.00030264060356653417,0.000530264060356655,nonadapt
233,0.05096879286694103,0.0014274691358024717,0.002594307270233208,nonadapt
234,5.186899862825902e-05,1.5432098765432607e-05,3.515089163237386e-05,nonadapt
235,0.01384645061728396,1.5432098765432607e-05,3.858024691357998e-06,novel
236,0.0072222222222222306,0.00038580246913580283,0.00022376543209876384,novel
237,0.0042746913580247155,0.0001890432098765462,0.0006640089163237385,nonadapt
238,0.003683556241426601,0.0005392661179698237,3.85802469135738e-06,novel
239,0.0017013888888888769,3.858024691358614e-06,3.85802469135738e-06,novel
240,0.01625,4.286694101509571e-07,4.286694101509571e-07,nonadapt
241,0.002966820987654319,6.858710562414081e-06,1.7146776406038285e-06,novel
