participant,scaling,d,grating_freq,direction
201,40,4.120082685883588,0,decrement
201,60,2.4682199159753035,0,decrement
201,80,1.3906729943290996,0,decrement
201,120,3.839003500005942,0,increment
201,140,3.839003500005942,0,increment
201,160,3.839003500005942,0,increment
201,40,4.679877466511699,5,decrement
201,60,2.450353387462854,5,decrement
201,80,3.0280146966034143,5,decrement
201,120,-0.27905630409163207,5,increment
201,140,4.679877466511699,5,increment
201,160,4.679877466511699,5,increment
201,40,4.679877466511699,10,decrement
201,60,4.679877466511699,10,decrement
201,80,1.9504677749572104,10,decrement
201,120,4.194946608021216,10,increment
201,140,2.5430838381129317,10,increment
201,160,4.194946608021216,10,increment
201,40,4.679877466511699,20,decrement
201,60,3.0280146966034143,20,decrement
201,80,1.3728064658166503,20,decrement
201,120,1.075572189973765,20,increment
201,140,2.730780420760529,20,increment
201,160,4.382643190668814,20,increment
202,40,2.730780420760529,0,decrement
202,60,2.730780420760529,0,decrement
202,80,-0.5762905799345175,0,decrement
202,120,3.006813057118882,0,increment
202,140,0.777288978070037,0,increment
202,160,1.3549502872105972,0,increment
202,40,3.9378432123607094,5,decrement
202,60,3.9378432123607094,5,decrement
202,80,1.2084335208062207,5,decrement
202,120,1.8905586068347435,5,increment
202,140,2.4682199159753035,5,increment
202,160,4.120082685883588,5,increment
202,40,3.8867052291883413,10,decrement
202,60,2.234842459280057,10,decrement
202,80,3.8867052291883413,10,decrement
202,120,1.7635836382992167,10,increment
202,140,2.341244947439777,10,increment
202,160,3.993107717348061,10,increment
202,40,2.142346516316986,20,decrement
202,60,3.7942092862252705,20,decrement
202,80,2.142346516316986,20,decrement
202,120,2.730780420760529,20,increment
202,140,2.730780420760529,20,increment
202,160,2.730780420760529,20,increment
203,40,3.281533164160309,0,decrement
203,60,3.281533164160309,0,decrement
203,80,1.6296703942520245,0,decrement
203,120,1.3728064658166503,0,increment
203,140,4.679877466511699,0,increment
203,160,4.679877466511699,0,increment
203,40,2.1531191116199686,5,decrement
203,60,2.730780420760529,5,decrement
203,80,-0.5762905799345175,5,decrement
203,120,-0.6780514615067359,5,increment
203,140,2.05135823004775,5,increment
203,160,2.6290195391883104,5,increment
203,40,1.2440402318090589,10,decrement
203,60,1.8217015409496191,10,decrement
203,80,0.16649331016285496,10,decrement
203,120,1.792104089001145,10,increment
203,140,1.2144427798605848,10,increment
203,160,3.4439668589094294,10,increment
203,40,1.7353072493706707,20,decrement
203,60,1.7353072493706707,20,decrement
203,80,3.387170019278955,20,decrement
203,120,-0.5762905799345175,20,increment
203,140,2.1531191116199686,20,increment
203,160,2.730780420760529,20,increment
204,40,4.509062502154144,0,decrement
204,60,2.8571997322458595,0,decrement
204,80,-0.4498712684491868,0,decrement
204,120,0.8130116851885395,0,increment
204,140,1.8905586068347435,0,increment
204,160,2.4682199159753035,0,increment
204,40,3.7117689808780123,5,decrement
204,60,3.7117689808780123,5,decrement
204,80,2.0599062109697277,5,decrement
204,120,-0.7639871625821146,5,increment
204,140,1.4655369164667278,5,increment
204,160,2.5430838381129317,5,increment
204,40,3.6735226880198724,10,decrement
204,60,2.0216599181115877,10,decrement
204,80,1.4439986089710275,10,decrement
204,120,-0.7639871625821146,10,increment
204,140,1.4655369164667278,10,increment
204,160,1.9654225289723717,10,increment
204,40,4.120082685883588,20,decrement
204,60,4.120082685883588,20,decrement
204,80,1.8905586068347435,20,decrement
204,120,-1.0210905582426217,20,increment
204,140,0.6307722116656606,20,increment
204,160,2.285980442452425,20,increment
205,40,4.053425246806396,0,decrement
205,60,4.053425246806396,0,decrement
205,80,1.3240155552519073,0,decrement
205,120,-0.5762905799345175,0,increment
205,140,-0.5762905799345175,0,increment
205,160,-0.5762905799345175,0,increment
205,40,3.0280146966034143,5,decrement
205,60,1.9504677749572104,5,decrement
205,80,1.9504677749572104,5,decrement
205,120,-0.27905630409163207,5,increment
